,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,IsAlone,Survived
1,3,male,21.4,2,0,157.46,C,3,0,1
5,1,female,31.4,4,4,6.09,C,9,0,0
14,3,male,35.3,5,0,26.15,C,6,0,0
15,3,female,22.5,2,1,15.27,C,4,0,0
24,1,female,33.8,1,2,33.67,C,4,0,0
30,3,male,29.0,1,3,53.14,C,5,0,0
34,3,female,30.6,4,0,66.72,C,5,0,1
37,3,male,31.5,0,4,28.43,C,5,0,0
39,2,male,29.1,5,3,9.41,C,9,0,0
40,3,male,30.9,4,3,52.11,C,8,0,0
41,1,male,11.9,4,0,22.86,C,5,0,0
43,3,male,8.7,1,2,104.72,C,4,0,1
48,2,male,32.8,3,2,1.8,C,6,0,0
49,3,female,24.5,4,4,77.9,C,9,0,0
52,1,male,24.8,5,0,44.62,C,6,0,1
57,3,male,36.8,4,1,3.01,C,6,0,0
66,1,male,34.0,2,0,53.55,C,3,0,0
76,1,male,30.8,5,4,46.77,C,10,0,1
83,1,male,28.2,3,3,0.08,C,7,0,0
86,3,female,35.5,2,1,82.38,C,4,0,1
88,3,female,16.1,2,4,37.33,C,7,0,1
99,1,female,30.3,3,0,33.76,C,4,0,0
109,1,male,44.2,3,4,20.19,C,8,0,0
110,3,male,34.7,0,2,58.81,C,3,0,0
113,1,male,5.0,3,4,75.95,C,8,0,1
124,1,female,47.5,3,3,99.6,C,7,0,0
131,3,male,25.3,4,3,6.15,C,8,0,0
144,3,female,42.6,1,0,27.19,C,2,0,0
159,2,male,20.5,3,3,13.5,C,7,0,1
166,1,female,63.7,3,3,23.94,C,7,0,0
177,2,male,36.2,3,2,2.0,C,6,0,0
186,2,male,13.5,0,2,17.29,C,3,0,1
190,3,male,21.5,0,4,18.51,C,5,0,0
194,2,female,36.1,5,0,17.3,C,6,0,0
204,3,female,0.0,1,2,28.15,C,4,0,0
217,1,male,50.8,0,1,5.97,C,2,0,1
225,1,male,42.7,3,3,17.07,C,7,0,0
233,3,male,38.5,5,3,29.47,C,9,0,0
237,3,male,36.2,2,0,49.54,C,3,0,0
247,2,male,34.8,2,1,13.44,C,4,0,1
254,3,female,36.2,2,2,14.1,C,5,0,0
255,3,male,13.8,0,3,22.51,C,4,0,0
262,3,female,45.6,0,4,11.83,C,5,0,0
263,3,male,7.5,3,3,12.89,C,7,0,0
269,1,male,29.7,1,0,12.42,C,2,0,0
271,3,male,39.1,2,3,11.22,C,6,0,1
274,2,male,29.9,4,2,24.72,C,7,0,0
276,2,male,40.4,1,4,3.84,C,6,0,1
285,3,male,47.0,5,2,19.0,C,8,0,0
286,3,male,14.6,4,1,29.76,C,6,0,0
290,2,male,47.3,2,2,48.41,C,5,0,0
300,3,female,6.8,1,1,78.9,C,3,0,0
301,3,male,23.1,1,3,9.89,C,5,0,0
303,2,male,55.3,5,4,117.94,C,10,0,1
304,3,female,26.1,4,2,23.79,C,7,0,1
306,3,male,40.0,0,2,10.36,C,3,0,0
310,3,male,37.6,0,0,23.65,C,1,1,0
317,1,male,40.2,1,4,128.94,C,6,0,0
329,3,male,37.1,4,2,96.6,C,7,0,0
331,3,male,31.4,4,2,34.21,C,7,0,1
339,1,male,10.9,1,2,13.4,C,4,0,0
346,2,male,32.6,5,3,103.26,C,9,0,1
348,1,male,52.9,4,3,34.52,C,8,0,0
356,3,male,34.4,1,2,25.4,C,4,0,0
357,3,male,20.1,3,3,58.45,C,7,0,0
365,1,male,31.0,4,0,10.27,C,5,0,0
366,3,male,28.2,2,4,12.8,C,7,0,1
367,3,female,29.4,5,4,107.45,C,10,0,1
376,3,male,17.6,3,4,16.42,C,8,0,1
382,1,female,25.7,3,2,29.54,C,6,0,1
386,1,male,31.1,2,4,31.82,C,7,0,0
404,3,female,26.7,5,1,60.95,C,7,0,0
411,3,male,13.4,1,4,8.46,C,6,0,1
412,3,female,25.3,4,0,0.9,C,5,0,1
439,1,male,39.8,4,1,79.82,C,6,0,0
462,2,male,31.7,4,3,22.73,C,8,0,1
468,3,male,13.9,4,4,56.4,C,9,0,0
484,3,male,26.3,1,2,15.15,C,4,0,0
498,1,male,46.4,2,0,32.29,C,3,0,1
509,1,male,2.0,4,3,66.36,C,8,0,1
510,2,male,40.6,1,0,46.2,C,2,0,0
511,3,male,14.2,4,4,5.36,C,9,0,0
518,3,male,27.5,3,0,0.43,C,4,0,1
519,3,male,37.9,4,4,97.69,C,9,0,0
521,3,male,31.2,0,2,11.24,C,3,0,0
531,3,male,23.6,0,2,18.67,C,3,0,1
542,1,female,20.4,2,0,27.0,C,3,0,0
546,3,male,9.9,3,2,56.13,C,6,0,0
548,1,male,25.3,5,0,49.12,C,6,0,0
