,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,IsAlone,Survived
3,1,male,15.7,0,4,3.42,S,5,0,0
4,1,male,49.6,2,0,54.24,S,3,0,0
5,1,female,31.4,4,4,6.09,C,9,0,0
9,1,male,39.7,2,2,8.67,S,5,0,1
10,1,male,24.5,4,4,1.86,S,9,0,0
11,1,female,0.0,2,4,22.11,S,7,0,1
18,1,female,49.6,5,4,5.87,S,10,0,0
22,1,male,28.6,5,4,13.57,S,10,0,0
24,1,female,33.8,1,2,33.67,C,4,0,0
32,1,female,39.5,3,0,23.03,Q,4,0,0
41,1,male,11.9,4,0,22.86,C,5,0,0
42,1,male,25.7,4,1,30.25,S,6,0,0
46,1,male,19.8,3,2,32.58,S,6,0,0
52,1,male,24.8,5,0,44.62,C,6,0,1
56,1,female,24.9,0,3,0.66,S,4,0,0
58,1,male,19.7,1,0,8.12,S,2,0,0
60,1,male,18.6,2,4,113.45,S,7,0,0
61,1,male,41.7,4,2,81.9,S,7,0,0
62,1,female,39.9,2,0,33.72,S,3,0,1
63,1,male,28.5,1,0,43.31,S,2,0,0
64,1,female,53.2,4,1,39.82,S,6,0,0
66,1,male,34.0,2,0,53.55,C,3,0,0
68,1,male,11.3,5,2,8.0,S,8,0,0
71,1,male,28.4,0,4,109.2,S,5,0,0
73,1,female,19.6,3,1,7.68,S,5,0,1
76,1,male,30.8,5,4,46.77,C,10,0,1
78,1,male,9.3,0,0,7.41,S,1,1,0
83,1,male,28.2,3,3,0.08,C,7,0,0
85,1,male,39.2,4,1,35.23,S,6,0,0
87,1,male,42.8,0,1,67.73,S,2,0,1
90,1,female,37.6,1,2,14.08,S,4,0,0
99,1,female,30.3,3,0,33.76,C,4,0,0
101,1,male,25.8,5,4,10.54,S,10,0,1
102,1,male,63.6,0,3,53.0,S,4,0,0
106,1,male,32.4,3,3,17.38,S,7,0,0
109,1,male,44.2,3,4,20.19,C,8,0,0
113,1,male,5.0,3,4,75.95,C,8,0,1
114,1,male,30.1,3,1,49.57,S,5,0,1
118,1,male,7.9,5,4,11.66,S,10,0,1
121,1,male,6.9,1,2,81.96,S,4,0,1
124,1,female,47.5,3,3,99.6,C,7,0,0
133,1,male,23.3,1,0,4.48,S,2,0,0
135,1,male,30.3,4,1,1.14,S,6,0,0
136,1,female,42.4,4,0,35.37,S,5,0,0
149,1,male,59.9,5,4,12.97,S,10,0,0
153,1,male,48.6,1,4,0.96,S,6,0,0
165,1,female,16.3,5,2,30.06,S,8,0,1
166,1,female,63.7,3,3,23.94,C,7,0,0
167,1,female,31.2,0,1,16.4,S,2,0,0
170,1,female,40.8,4,1,205.49,S,6,0,1
171,1,female,10.8,0,2,49.81,S,3,0,0
179,1,male,35.0,1,3,6.13,S,5,0,0
180,1,male,36.1,3,1,15.18,S,5,0,0
181,1,female,42.0,0,1,87.59,Q,2,0,0
184,1,male,27.9,3,2,51.41,S,6,0,0
188,1,female,16.2,5,4,83.77,S,10,0,0
191,1,male,25.2,0,1,18.46,S,2,0,1
198,1,female,35.0,5,4,15.34,Q,10,0,1
203,1,male,30.4,0,1,15.19,S,2,0,1
208,1,male,24.7,4,0,82.03,S,5,0,0
209,1,female,32.6,0,2,34.73,S,3,0,0
213,1,male,31.4,5,2,61.19,S,8,0,0
217,1,male,50.8,0,1,5.97,C,2,0,1
224,1,male,25.3,2,4,124.74,S,7,0,0
225,1,male,42.7,3,3,17.07,C,7,0,0
226,1,female,3.0,4,2,10.82,S,7,0,1
230,1,female,30.9,0,3,27.71,S,4,0,1
234,1,male,18.5,1,0,74.75,S,2,0,0
239,1,male,30.9,2,3,3.49,S,6,0,0
244,1,female,39.4,3,0,16.77,S,4,0,0
245,1,female,41.6,3,4,98.31,S,8,0,1
250,1,male,27.7,1,1,15.66,S,3,0,0
252,1,female,31.0,1,2,45.9,S,4,0,1
257,1,male,28.2,4,0,5.27,S,5,0,1
266,1,male,49.5,0,2,34.88,S,3,0,1
268,1,female,16.6,3,4,52.19,S,8,0,0
269,1,male,29.7,1,0,12.42,C,2,0,0
270,1,male,31.2,4,4,167.42,S,9,0,1
297,1,female,35.1,3,2,0.88,S,6,0,0
302,1,male,35.7,3,2,7.67,S,6,0,0
305,1,male,49.2,2,3,2.07,S,6,0,1
309,1,male,15.4,4,1,37.74,S,6,0,0
312,1,male,20.4,4,4,13.38,S,9,0,0
313,1,male,26.5,1,2,17.43,S,4,0,1
314,1,male,26.7,0,0,84.25,S,1,1,1
316,1,male,21.9,0,0,1.29,S,1,1,0
317,1,male,40.2,1,4,128.94,C,6,0,0
322,1,female,16.5,4,4,39.1,Q,9,0,1
324,1,male,28.9,1,4,46.16,S,6,0,1
327,1,female,0.0,0,1,22.0,S,2,0,0
330,1,male,21.2,1,1,133.37,S,3,0,0
336,1,male,41.7,0,3,53.17,S,4,0,1
339,1,male,10.9,1,2,13.4,C,4,0,0
343,1,female,16.5,3,4,46.42,S,8,0,0
348,1,male,52.9,4,3,34.52,C,8,0,0
350,1,male,38.1,4,1,25.65,S,6,0,0
361,1,male,36.8,1,1,32.21,S,3,0,1
362,1,male,28.9,3,0,13.26,S,4,0,0
363,1,male,29.2,4,1,12.25,S,6,0,0
365,1,male,31.0,4,0,10.27,C,5,0,0
368,1,female,50.8,2,3,207.32,S,6,0,0
370,1,female,30.5,1,3,37.15,S,5,0,0
374,1,male,18.4,3,2,22.64,S,6,0,0
379,1,male,11.2,3,2,29.12,S,6,0,0
382,1,female,25.7,3,2,29.54,C,6,0,1
386,1,male,31.1,2,4,31.82,C,7,0,0
390,1,female,29.4,0,2,2.08,S,3,0,1
401,1,female,13.0,1,2,27.35,S,4,0,1
403,1,male,1.4,2,1,61.01,S,4,0,1
416,1,female,34.9,1,0,1.59,S,2,0,0
422,1,male,36.0,4,1,14.94,S,6,0,0
427,1,female,28.7,5,2,14.16,S,8,0,1
435,1,female,27.2,5,0,14.0,S,6,0,1
437,1,female,30.2,2,2,50.84,S,5,0,1
439,1,male,39.8,4,1,79.82,C,6,0,0
441,1,female,43.7,3,2,9.64,S,6,0,1
451,1,female,32.9,3,3,70.34,Q,7,0,0
454,1,male,19.0,0,2,37.91,S,3,0,0
457,1,male,32.7,1,1,45.08,S,3,0,0
460,1,male,31.1,5,1,2.34,S,7,0,0
470,1,male,34.0,3,3,3.34,S,7,0,0
473,1,male,32.7,1,2,20.84,Q,4,0,1
475,1,female,13.8,5,4,83.96,S,10,0,1
479,1,female,14.5,0,4,7.36,S,5,0,0
481,1,male,49.6,4,2,5.89,S,7,0,1
487,1,female,51.9,0,0,56.01,S,1,1,0
491,1,female,14.4,4,2,20.46,Q,7,0,1
497,1,male,27.9,4,1,53.11,S,6,0,0
498,1,male,46.4,2,0,32.29,C,3,0,1
509,1,male,2.0,4,3,66.36,C,8,0,1
515,1,male,28.3,3,0,93.89,S,4,0,0
516,1,male,14.1,0,0,27.92,S,1,1,0
520,1,male,39.6,2,0,4.4,Q,3,0,0
525,1,male,9.0,0,0,5.54,S,1,1,0
530,1,female,16.9,5,2,30.81,S,8,0,1
533,1,male,48.1,0,0,7.96,S,1,1,0
542,1,female,20.4,2,0,27.0,C,3,0,0
548,1,male,25.3,5,0,49.12,C,6,0,0
552,1,male,13.1,1,4,26.55,C,6,0,0
553,1,female,24.4,2,4,17.1,C,7,0,0
561,1,male,31.6,3,2,66.24,S,6,0,0
563,1,female,9.3,3,1,31.66,C,5,0,0
565,1,male,31.8,3,0,31.11,C,4,0,0
568,1,male,28.3,3,3,34.61,S,7,0,1
573,1,male,9.7,3,0,15.13,S,4,0,1
574,1,male,9.6,3,3,21.12,S,7,0,1
582,1,female,44.8,5,4,14.39,S,10,0,0
584,1,female,17.0,5,3,47.02,S,9,0,1
586,1,female,13.4,1,3,39.04,S,5,0,0
588,1,female,30.1,5,3,7.1,C,9,0,0
589,1,female,36.5,5,2,8.02,Q,8,0,0
594,1,female,39.3,3,1,47.82,C,5,0,1
596,1,male,46.2,4,0,12.01,S,5,0,1
599,1,male,3.0,5,4,11.18,S,10,0,0
605,1,male,23.4,0,2,15.08,Q,3,0,0
629,1,male,14.3,4,3,30.79,S,8,0,0
635,1,female,26.8,4,2,23.23,C,7,0,0
637,1,male,33.9,1,3,52.06,C,5,0,0
648,1,male,46.4,1,4,23.09,C,6,0,1
649,1,male,47.1,2,4,94.98,C,7,0,0
650,1,male,29.1,4,3,7.03,S,8,0,0
651,1,male,25.8,2,1,32.69,Q,4,0,0
661,1,male,45.1,2,1,1.06,S,4,0,1
667,1,male,17.4,3,3,12.4,S,7,0,0
669,1,male,20.8,5,1,25.07,S,7,0,0
672,1,male,25.7,0,3,44.72,S,4,0,0
681,1,male,25.6,3,2,5.6,C,6,0,0
682,1,female,28.7,4,4,6.3,Q,9,0,0
687,1,female,46.5,5,4,7.01,C,10,0,0
688,1,male,29.1,1,2,31.3,C,4,0,1
690,1,male,0.0,1,0,5.06,S,2,0,0
693,1,male,22.7,5,1,41.7,S,7,0,0
701,1,female,18.7,3,1,2.65,S,5,0,0
703,1,male,41.7,4,2,2.46,C,7,0,0
704,1,female,44.8,0,4,25.3,S,5,0,0
707,1,male,8.9,3,0,34.21,C,4,0,1
710,1,female,16.1,2,0,13.17,S,3,0,1
712,1,male,33.7,4,3,37.19,S,8,0,0
714,1,male,26.5,0,4,43.38,S,5,0,0
716,1,male,23.7,5,0,11.84,C,6,0,1
721,1,male,27.2,3,3,21.7,C,7,0,0
723,1,female,44.8,2,3,48.49,S,6,0,1
725,1,male,46.2,5,0,22.98,S,6,0,1
729,1,male,48.2,5,2,1.98,Q,8,0,0
747,1,male,37.3,5,4,72.14,S,10,0,0
748,1,female,18.5,4,1,1.34,S,6,0,1
749,1,male,33.9,2,2,79.05,C,5,0,1
