,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,IsAlone,Survived
2,3,female,47.2,1,4,131.88,S,6,0,1
7,3,male,14.9,5,0,61.47,S,6,0,1
9,1,male,39.7,2,2,8.67,S,5,0,1
11,1,female,0.0,2,4,22.11,S,7,0,1
25,3,male,12.9,5,1,78.04,S,7,0,1
33,3,male,8.9,1,4,13.54,S,6,0,1
45,3,male,20.7,3,2,53.87,S,6,0,1
50,3,male,23.1,1,3,8.31,S,5,0,1
51,3,female,9.3,0,4,20.51,S,5,0,1
53,3,female,45.0,1,4,23.64,S,6,0,1
55,3,female,34.2,4,1,95.25,S,6,0,1
62,1,female,39.9,2,0,33.72,S,3,0,1
69,3,female,16.5,1,4,13.67,S,6,0,1
70,3,male,28.2,4,0,1.59,S,5,0,1
73,1,female,19.6,3,1,7.68,S,5,0,1
74,3,male,30.0,2,1,9.45,S,4,0,1
75,3,male,30.2,1,0,157.04,S,2,0,1
80,3,female,15.8,0,3,35.41,S,4,0,1
81,3,female,21.6,1,0,48.45,S,2,0,1
87,1,male,42.8,0,1,67.73,S,2,0,1
91,3,female,22.4,4,2,9.0,S,7,0,1
92,3,male,23.1,5,4,4.24,S,10,0,1
94,3,female,30.3,3,3,105.44,S,7,0,1
101,1,male,25.8,5,4,10.54,S,10,0,1
104,3,female,37.5,1,4,7.25,S,6,0,1
107,2,male,28.8,5,4,39.21,S,10,0,1
112,3,female,5.5,4,0,1.56,S,5,0,1
114,1,male,30.1,3,1,49.57,S,5,0,1
115,3,male,41.2,0,1,38.4,S,2,0,1
116,3,male,47.6,0,3,2.92,S,4,0,1
118,1,male,7.9,5,4,11.66,S,10,0,1
120,3,male,17.6,3,4,21.39,S,8,0,1
121,1,male,6.9,1,2,81.96,S,4,0,1
126,3,female,18.7,5,2,0.96,S,8,0,1
127,3,male,48.6,0,3,10.32,S,4,0,1
134,3,female,42.0,1,4,21.9,S,6,0,1
137,2,female,50.3,1,4,76.48,S,6,0,1
140,3,female,27.9,3,0,28.61,S,4,0,1
150,3,male,38.9,5,2,55.71,S,8,0,1
154,3,female,9.3,1,0,50.0,S,2,0,1
156,2,male,38.9,0,0,13.37,S,1,1,1
157,3,male,47.1,4,1,19.24,S,6,0,1
161,3,male,34.8,0,1,0.64,S,2,0,1
162,2,female,33.9,3,3,80.16,S,7,0,1
165,1,female,16.3,5,2,30.06,S,8,0,1
170,1,female,40.8,4,1,205.49,S,6,0,1
174,3,male,57.8,1,1,2.33,S,3,0,1
176,2,male,17.7,0,0,12.03,S,1,1,1
178,3,male,20.1,1,1,2.37,S,3,0,1
182,3,male,7.1,3,0,34.31,S,4,0,1
183,3,male,11.3,4,3,16.26,S,8,0,1
185,3,male,14.5,2,4,26.9,S,7,0,1
191,1,male,25.2,0,1,18.46,S,2,0,1
192,2,male,33.2,4,3,46.35,S,8,0,1
193,2,female,7.9,3,2,6.33,S,6,0,1
196,3,male,24.1,5,0,2.67,S,6,0,1
197,3,female,32.8,5,0,23.91,S,6,0,1
199,3,female,49.1,4,0,40.68,S,5,0,1
200,3,female,64.0,4,0,138.31,S,5,0,1
203,1,male,30.4,0,1,15.19,S,2,0,1
207,3,female,34.1,3,1,126.81,S,5,0,1
211,3,male,31.8,0,4,39.25,S,5,0,1
212,3,male,10.2,5,0,12.08,S,6,0,1
218,2,male,18.6,0,4,20.84,S,5,0,1
219,2,male,41.5,0,0,71.12,S,1,1,1
220,3,female,21.6,3,2,102.44,S,6,0,1
226,1,female,3.0,4,2,10.82,S,7,0,1
228,3,female,37.7,1,1,6.7,S,3,0,1
229,3,male,24.7,5,2,26.06,S,8,0,1
230,1,female,30.9,0,3,27.71,S,4,0,1
235,3,male,10.8,2,1,17.53,S,4,0,1
238,2,male,13.8,4,3,9.19,S,8,0,1
241,3,male,26.9,3,1,14.81,S,5,0,1
242,3,female,31.5,3,0,15.38,S,4,0,1
245,1,female,41.6,3,4,98.31,S,8,0,1
248,3,male,8.7,2,1,37.78,S,4,0,1
249,2,male,48.1,1,2,4.31,S,4,0,1
252,1,female,31.0,1,2,45.9,S,4,0,1
256,3,male,39.6,2,2,42.05,S,5,0,1
257,1,male,28.2,4,0,5.27,S,5,0,1
261,3,male,31.6,5,2,6.78,S,8,0,1
264,3,male,9.4,1,4,47.05,S,6,0,1
265,2,male,25.6,1,4,9.86,S,6,0,1
266,1,male,49.5,0,2,34.88,S,3,0,1
267,3,male,56.5,1,0,24.38,S,2,0,1
270,1,male,31.2,4,4,167.42,S,9,0,1
272,2,male,41.4,4,2,27.73,S,7,0,1
273,3,female,13.4,2,4,32.01,S,7,0,1
277,3,female,24.3,3,3,29.1,S,7,0,1
278,2,male,12.1,4,1,22.59,S,6,0,1
279,3,male,33.7,2,0,17.28,S,3,0,1
292,3,male,11.7,1,2,11.91,S,4,0,1
296,3,male,7.4,4,1,47.98,S,6,0,1
298,3,male,26.7,4,1,7.96,S,6,0,1
305,1,male,49.2,2,3,2.07,S,6,0,1
308,3,male,14.8,2,4,2.39,S,7,0,1
313,1,male,26.5,1,2,17.43,S,4,0,1
314,1,male,26.7,0,0,84.25,S,1,1,1
321,3,female,0.0,3,0,21.4,S,4,0,1
324,1,male,28.9,1,4,46.16,S,6,0,1
325,3,female,4.2,2,4,49.0,S,7,0,1
336,1,male,41.7,0,3,53.17,S,4,0,1
337,2,female,0.0,5,0,63.23,S,6,0,1
349,3,female,62.6,2,0,67.57,S,3,0,1
351,3,female,34.1,2,3,17.02,S,6,0,1
352,3,female,12.0,4,0,7.6,S,5,0,1
355,3,female,25.0,5,1,18.73,S,7,0,1
358,2,female,0.0,5,3,7.84,S,9,0,1
361,1,male,36.8,1,1,32.21,S,3,0,1
364,3,male,31.4,3,2,45.53,S,6,0,1
373,3,male,42.2,4,1,10.32,S,6,0,1
381,2,male,48.2,4,0,123.63,S,5,0,1
383,3,female,33.4,3,3,23.49,S,7,0,1
385,3,male,10.5,4,0,6.68,S,5,0,1
388,3,male,20.7,4,4,34.52,S,9,0,1
389,3,female,40.7,0,0,50.84,S,1,1,1
390,1,female,29.4,0,2,2.08,S,3,0,1
393,3,female,21.6,5,4,6.19,S,10,0,1
395,2,female,25.4,1,2,4.26,S,4,0,1
396,2,female,30.0,3,4,35.85,S,8,0,1
398,3,male,25.3,0,3,9.14,S,4,0,1
399,3,female,32.2,5,1,33.61,S,7,0,1
401,1,female,13.0,1,2,27.35,S,4,0,1
403,1,male,1.4,2,1,61.01,S,4,0,1
405,2,male,31.1,0,0,11.55,S,1,1,1
408,2,male,36.7,1,4,74.14,S,6,0,1
418,3,female,35.3,5,3,7.26,S,9,0,1
419,2,female,35.2,3,2,15.41,S,6,0,1
421,3,male,27.3,3,2,43.59,S,6,0,1
427,1,female,28.7,5,2,14.16,S,8,0,1
435,1,female,27.2,5,0,14.0,S,6,0,1
437,1,female,30.2,2,2,50.84,S,5,0,1
438,3,male,34.1,4,3,90.58,S,8,0,1
441,1,female,43.7,3,2,9.64,S,6,0,1
444,3,male,42.9,0,2,16.22,S,3,0,1
445,2,female,16.1,5,4,14.41,S,10,0,1
446,3,female,46.1,0,2,13.49,S,3,0,1
447,2,male,54.3,0,1,13.73,S,2,0,1
450,3,female,22.7,0,3,11.23,S,4,0,1
453,3,female,18.1,1,1,10.74,S,3,0,1
461,3,male,23.2,0,3,32.69,S,4,0,1
464,3,female,41.9,4,4,79.49,S,9,0,1
467,3,male,9.1,2,3,47.62,S,6,0,1
469,3,female,17.5,2,3,12.59,S,6,0,1
471,3,male,10.9,2,2,60.8,S,5,0,1
475,1,female,13.8,5,4,83.96,S,10,0,1
478,3,male,17.1,0,1,38.71,S,2,0,1
480,3,female,0.0,3,1,4.54,S,5,0,1
481,1,male,49.6,4,2,5.89,S,7,0,1
483,3,female,55.4,2,1,8.06,S,4,0,1
485,3,male,33.0,0,0,60.65,S,1,1,1
488,2,male,36.0,1,0,47.79,S,2,0,1
489,3,male,29.0,1,2,56.92,S,4,0,1
499,3,male,38.5,4,1,31.12,S,6,0,1
500,3,female,37.5,1,0,8.24,S,2,0,1
504,3,female,58.8,3,3,9.32,S,7,0,1
506,3,male,35.5,4,0,80.88,S,5,0,1
507,2,male,22.8,1,2,6.03,S,4,0,1
508,3,male,34.1,3,0,0.31,S,4,0,1
512,3,male,44.7,5,0,56.77,S,6,0,1
513,3,male,56.7,0,1,53.22,S,2,0,1
517,2,female,4.8,1,2,18.72,S,4,0,1
523,3,male,30.7,3,2,0.17,S,6,0,1
524,3,male,8.1,1,2,25.03,S,4,0,1
529,3,male,33.5,5,1,42.41,S,7,0,1
530,1,female,16.9,5,2,30.81,S,8,0,1
532,3,male,9.8,4,1,20.84,S,6,0,1
534,2,female,59.8,1,4,2.8,S,6,0,1
535,3,male,36.8,2,4,63.11,S,7,0,1
536,2,male,39.2,2,1,37.61,S,4,0,1
540,2,female,22.5,2,2,102.87,S,5,0,1
547,2,female,41.4,0,1,13.98,S,2,0,1
551,2,female,31.2,3,4,53.37,S,8,0,1
554,2,male,31.4,3,3,23.72,S,7,0,1
559,3,male,25.5,5,1,30.48,S,7,0,1
560,3,male,16.1,1,4,50.07,S,6,0,1
568,1,male,28.3,3,3,34.61,S,7,0,1
571,3,female,31.0,0,2,86.94,S,3,0,1
573,1,male,9.7,3,0,15.13,S,4,0,1
574,1,male,9.6,3,3,21.12,S,7,0,1
577,3,male,43.4,4,1,83.08,S,6,0,1
581,2,female,11.8,2,0,68.57,S,3,0,1
584,1,female,17.0,5,3,47.02,S,9,0,1
591,3,male,37.5,2,4,3.24,S,7,0,1
596,1,male,46.2,4,0,12.01,S,5,0,1
609,3,male,0.0,4,4,14.79,S,9,0,1
611,3,male,23.1,3,0,68.16,S,4,0,1
612,2,male,56.1,3,2,22.07,S,6,0,1
614,3,female,49.7,3,2,50.32,S,6,0,1
615,2,female,51.0,2,4,18.75,S,7,0,1
618,3,male,24.3,0,3,0.89,S,4,0,1
619,2,male,46.9,0,4,39.53,S,5,0,1
630,2,female,22.6,5,2,31.81,S,8,0,1
631,3,male,34.0,2,3,66.62,S,6,0,1
645,3,male,21.5,1,1,27.58,S,3,0,1
647,3,male,29.7,4,4,37.91,S,9,0,1
661,1,male,45.1,2,1,1.06,S,4,0,1
678,3,male,60.0,3,1,8.79,S,5,0,1
679,2,male,38.5,4,0,8.91,S,5,0,1
680,3,female,9.3,0,2,11.61,S,3,0,1
683,3,male,13.5,3,2,9.46,S,6,0,1
684,3,male,4.0,1,3,34.51,S,5,0,1
705,2,female,9.7,5,4,27.01,S,10,0,1
709,3,male,34.9,1,4,3.97,S,6,0,1
710,1,female,16.1,2,0,13.17,S,3,0,1
723,1,female,44.8,2,3,48.49,S,6,0,1
725,1,male,46.2,5,0,22.98,S,6,0,1
727,3,male,17.2,0,3,10.11,S,4,0,1
731,3,male,33.5,3,0,30.15,S,4,0,1
737,3,male,27.9,5,1,3.15,S,7,0,1
745,3,female,50.6,2,1,27.6,S,4,0,1
748,1,female,18.5,4,1,1.34,S,6,0,1
751,3,male,44.2,2,1,39.07,S,4,0,1
752,2,male,23.6,5,2,47.5,S,8,0,1
755,3,female,42.5,5,1,83.56,S,7,0,1
756,3,female,58.1,0,1,34.01,S,2,0,1
758,1,male,11.3,1,3,26.71,S,5,0,1
759,1,male,40.2,2,4,13.5,S,7,0,1
766,3,male,43.8,0,4,16.88,S,5,0,1
767,3,male,21.6,0,1,15.02,S,2,0,1
771,1,female,11.8,1,1,0.22,S,3,0,1
777,3,female,29.5,4,4,37.67,S,9,0,1
778,1,female,31.6,4,1,2.33,S,6,0,1
779,3,male,46.7,1,3,156.06,S,5,0,1
780,1,male,38.8,1,3,92.9,S,5,0,1
789,3,female,40.7,4,0,27.27,S,5,0,1
795,1,female,25.1,5,2,1.02,S,8,0,1
799,1,female,49.4,1,1,53.91,S,3,0,1
800,3,female,19.7,0,1,23.15,S,2,0,1
805,1,male,31.8,1,2,10.25,S,4,0,1
806,1,male,60.6,4,1,15.88,S,6,0,1
807,3,male,34.8,1,1,1.56,S,3,0,1
810,1,female,37.3,5,0,50.91,S,6,0,1
811,1,female,31.2,0,0,26.9,S,1,1,1
813,3,male,35.9,3,2,116.96,S,6,0,1
814,2,female,3.6,3,1,10.67,S,5,0,1
820,1,male,10.3,2,2,11.9,S,5,0,1
825,2,male,37.0,3,3,5.52,S,7,0,1
828,2,male,52.1,4,2,25.07,S,7,0,1
836,3,female,20.2,0,1,30.48,S,2,0,1
839,3,male,22.2,0,4,56.99,S,5,0,1
841,3,male,50.0,0,3,42.51,S,4,0,1
851,3,male,0.0,2,4,14.56,S,7,0,1
853,3,male,23.9,1,3,31.68,S,5,0,1
868,3,male,25.1,0,4,11.28,S,5,0,1
869,2,male,21.7,1,2,5.44,S,4,0,1
876,1,male,4.6,1,4,8.79,S,6,0,1
877,1,male,33.9,3,3,0.76,S,7,0,1
884,3,male,41.5,4,1,14.87,S,6,0,1
891,3,female,32.4,4,0,87.89,S,5,0,1
897,3,male,27.3,2,3,10.37,S,6,0,1
905,1,female,21.7,0,1,14.57,S,2,0,1
912,3,male,23.2,4,0,31.72,S,5,0,1
917,3,male,35.5,0,3,21.25,S,4,0,1
918,3,male,30.0,1,0,62.96,S,2,0,1
922,1,male,6.5,3,1,30.19,S,5,0,1
928,2,female,17.6,3,2,56.69,S,6,0,1
931,2,male,24.8,4,0,64.53,S,5,0,1
932,3,female,33.5,5,0,40.89,S,6,0,1
937,1,female,19.7,1,3,41.58,S,5,0,1
943,1,female,13.2,5,3,19.48,S,9,0,1
947,3,male,27.8,4,4,2.68,S,9,0,1
948,3,male,8.8,0,4,6.68,S,5,0,1
951,1,male,42.9,5,3,5.42,S,9,0,1
953,2,male,12.4,4,1,7.51,S,6,0,1
959,1,female,16.6,3,2,27.06,S,6,0,1
966,3,male,40.7,1,1,2.66,S,3,0,1
970,3,female,23.7,2,2,47.03,S,5,0,1
971,1,male,13.9,5,2,75.64,S,8,0,1
972,3,male,25.7,2,3,13.34,S,6,0,1
984,3,male,43.7,3,1,53.41,S,5,0,1
986,3,male,19.6,5,3,41.48,S,9,0,1
989,3,female,49.5,4,4,20.06,S,9,0,1
990,3,male,34.2,0,2,16.32,S,3,0,1
991,2,female,43.3,0,3,6.91,S,4,0,1
1002,3,female,48.8,1,1,25.22,S,3,0,1
1003,1,male,54.1,4,1,10.32,S,6,0,1
1004,3,female,48.9,2,0,9.18,S,3,0,1
1007,1,male,32.3,2,2,14.26,S,5,0,1
1011,2,male,7.1,4,3,32.98,S,8,0,1
1012,2,male,30.9,5,0,35.1,S,6,0,1
1014,1,male,27.9,4,3,6.74,S,8,0,1
1015,3,male,31.7,1,3,20.1,S,5,0,1
1020,3,male,21.2,1,4,22.93,S,6,0,1
1022,1,male,29.1,4,3,81.14,S,8,0,1
1023,2,female,26.2,4,0,43.24,S,5,0,1
1024,3,female,33.9,4,4,14.18,S,9,0,1
1026,3,male,34.6,2,3,14.61,S,6,0,1
1027,3,female,23.1,2,3,21.88,S,6,0,1
1029,3,female,13.1,3,2,6.64,S,6,0,1
1035,3,male,0.0,2,3,45.11,S,6,0,1
1037,3,male,20.1,5,4,35.94,S,10,0,1
1043,3,female,0.0,2,1,3.01,S,4,0,1
1044,2,male,11.0,2,4,41.01,S,7,0,1
1048,3,male,32.4,0,1,66.83,S,2,0,1
1050,3,male,37.4,2,0,19.33,S,3,0,1
1053,3,male,47.0,0,4,0.37,S,5,0,1
1059,1,male,31.1,0,2,6.3,S,3,0,1
1061,1,female,39.1,1,1,17.26,S,3,0,1
1062,1,male,41.2,1,4,7.49,S,6,0,1
1074,3,male,21.8,0,1,2.03,S,2,0,1
1077,1,female,42.5,0,1,48.18,S,2,0,1
1079,1,male,1.0,1,2,5.87,S,4,0,1
1084,3,male,36.6,2,1,73.07,S,4,0,1
1088,3,male,19.4,3,0,64.04,S,4,0,1
1090,2,male,51.8,1,4,60.25,S,6,0,1
1091,3,female,29.2,5,0,11.47,S,6,0,1
1101,1,female,17.0,4,2,116.81,S,7,0,1
1102,3,male,21.0,3,4,3.14,S,8,0,1
1103,1,female,32.9,2,1,31.13,S,4,0,1
1107,3,male,29.2,3,4,8.03,S,8,0,1
1110,2,male,46.2,2,0,25.99,S,3,0,1
1120,3,female,33.2,2,0,45.9,S,3,0,1
1121,3,female,48.4,3,4,6.01,S,8,0,1
1122,1,female,40.0,4,4,2.17,S,9,0,1
1123,2,male,12.7,5,2,21.75,S,8,0,1
1134,1,female,47.1,3,3,38.57,S,7,0,1
1136,2,male,18.7,2,4,0.15,S,7,0,1
1140,3,male,33.8,4,3,33.58,S,8,0,1
1142,3,female,34.3,3,4,60.22,S,8,0,1
