,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,IsAlone,Survived
5,1,female,31.4,4,4,6.09,C,9,0,0
14,3,male,35.3,5,0,26.15,C,6,0,0
15,3,female,22.5,2,1,15.27,C,4,0,0
24,1,female,33.8,1,2,33.67,C,4,0,0
30,3,male,29.0,1,3,53.14,C,5,0,0
37,3,male,31.5,0,4,28.43,C,5,0,0
39,2,male,29.1,5,3,9.41,C,9,0,0
40,3,male,30.9,4,3,52.11,C,8,0,0
41,1,male,11.9,4,0,22.86,C,5,0,0
48,2,male,32.8,3,2,1.8,C,6,0,0
49,3,female,24.5,4,4,77.9,C,9,0,0
57,3,male,36.8,4,1,3.01,C,6,0,0
66,1,male,34.0,2,0,53.55,C,3,0,0
83,1,male,28.2,3,3,0.08,C,7,0,0
99,1,female,30.3,3,0,33.76,C,4,0,0
109,1,male,44.2,3,4,20.19,C,8,0,0
110,3,male,34.7,0,2,58.81,C,3,0,0
124,1,female,47.5,3,3,99.6,C,7,0,0
131,3,male,25.3,4,3,6.15,C,8,0,0
144,3,female,42.6,1,0,27.19,C,2,0,0
166,1,female,63.7,3,3,23.94,C,7,0,0
177,2,male,36.2,3,2,2.0,C,6,0,0
190,3,male,21.5,0,4,18.51,C,5,0,0
194,2,female,36.1,5,0,17.3,C,6,0,0
204,3,female,0.0,1,2,28.15,C,4,0,0
225,1,male,42.7,3,3,17.07,C,7,0,0
233,3,male,38.5,5,3,29.47,C,9,0,0
237,3,male,36.2,2,0,49.54,C,3,0,0
254,3,female,36.2,2,2,14.1,C,5,0,0
255,3,male,13.8,0,3,22.51,C,4,0,0
262,3,female,45.6,0,4,11.83,C,5,0,0
263,3,male,7.5,3,3,12.89,C,7,0,0
269,1,male,29.7,1,0,12.42,C,2,0,0
274,2,male,29.9,4,2,24.72,C,7,0,0
285,3,male,47.0,5,2,19.0,C,8,0,0
286,3,male,14.6,4,1,29.76,C,6,0,0
290,2,male,47.3,2,2,48.41,C,5,0,0
300,3,female,6.8,1,1,78.9,C,3,0,0
301,3,male,23.1,1,3,9.89,C,5,0,0
306,3,male,40.0,0,2,10.36,C,3,0,0
310,3,male,37.6,0,0,23.65,C,1,1,0
317,1,male,40.2,1,4,128.94,C,6,0,0
329,3,male,37.1,4,2,96.6,C,7,0,0
339,1,male,10.9,1,2,13.4,C,4,0,0
348,1,male,52.9,4,3,34.52,C,8,0,0
356,3,male,34.4,1,2,25.4,C,4,0,0
357,3,male,20.1,3,3,58.45,C,7,0,0
365,1,male,31.0,4,0,10.27,C,5,0,0
386,1,male,31.1,2,4,31.82,C,7,0,0
404,3,female,26.7,5,1,60.95,C,7,0,0
439,1,male,39.8,4,1,79.82,C,6,0,0
468,3,male,13.9,4,4,56.4,C,9,0,0
484,3,male,26.3,1,2,15.15,C,4,0,0
510,2,male,40.6,1,0,46.2,C,2,0,0
511,3,male,14.2,4,4,5.36,C,9,0,0
519,3,male,37.9,4,4,97.69,C,9,0,0
521,3,male,31.2,0,2,11.24,C,3,0,0
542,1,female,20.4,2,0,27.0,C,3,0,0
546,3,male,9.9,3,2,56.13,C,6,0,0
548,1,male,25.3,5,0,49.12,C,6,0,0
552,1,male,13.1,1,4,26.55,C,6,0,0
553,1,female,24.4,2,4,17.1,C,7,0,0
562,3,male,43.2,3,0,5.07,C,4,0,0
563,1,female,9.3,3,1,31.66,C,5,0,0
565,1,male,31.8,3,0,31.11,C,4,0,0
569,3,female,42.6,5,4,64.32,C,10,0,0
572,3,female,28.3,1,0,5.02,C,2,0,0
588,1,female,30.1,5,3,7.1,C,9,0,0
592,3,male,56.5,3,1,52.58,C,5,0,0
604,2,male,30.5,0,3,147.52,C,4,0,0
606,3,female,22.2,5,3,1.27,C,9,0,0
610,3,female,36.6,4,3,14.81,C,8,0,0
616,3,male,46.9,1,2,5.03,C,4,0,0
634,2,male,36.9,2,1,7.55,C,4,0,0
635,1,female,26.8,4,2,23.23,C,7,0,0
637,1,male,33.9,1,3,52.06,C,5,0,0
641,2,male,54.4,1,0,14.79,C,2,0,0
646,3,male,30.4,3,1,49.41,C,5,0,0
649,1,male,47.1,2,4,94.98,C,7,0,0
657,3,male,13.5,5,1,4.19,C,7,0,0
659,2,male,37.7,1,1,40.09,C,3,0,0
665,3,female,35.1,1,0,23.52,C,2,0,0
666,3,male,28.0,4,0,5.33,C,5,0,0
674,3,male,35.9,1,1,18.12,C,3,0,0
681,1,male,25.6,3,2,5.6,C,6,0,0
687,1,female,46.5,5,4,7.01,C,10,0,0
697,3,male,23.8,2,0,7.6,C,3,0,0
698,3,male,37.0,1,1,21.78,C,3,0,0
702,2,female,27.5,0,4,3.41,C,5,0,0
703,1,male,41.7,4,2,2.46,C,7,0,0
721,1,male,27.2,3,3,21.7,C,7,0,0
722,3,male,48.9,5,3,53.16,C,9,0,0
724,3,female,23.5,4,1,10.81,C,6,0,0
738,2,male,30.7,1,2,16.48,C,4,0,0
753,2,male,13.4,2,4,3.7,C,7,0,0
761,2,male,24.1,1,1,16.7,C,3,0,0
765,1,female,20.6,5,3,24.54,C,9,0,0
770,2,male,32.0,1,1,16.91,C,3,0,0
772,1,male,17.3,3,4,9.72,C,8,0,0
773,3,male,21.8,1,0,31.11,C,2,0,0
783,2,male,40.4,1,3,25.55,C,5,0,0
784,3,male,32.4,5,0,84.81,C,6,0,0
804,2,female,13.4,0,2,9.5,C,3,0,0
819,1,male,19.8,2,4,13.64,C,7,0,0
822,3,male,19.5,3,2,5.05,C,6,0,0
826,2,male,0.5,5,3,0.21,C,9,0,0
835,3,male,13.4,1,3,3.03,C,5,0,0
837,3,female,31.3,1,3,12.91,C,5,0,0
849,2,male,57.0,0,0,9.17,C,1,1,0
852,1,female,39.3,4,2,7.13,C,7,0,0
862,3,male,28.5,5,0,91.72,C,6,0,0
866,3,female,41.9,2,1,6.33,C,4,0,0
870,2,male,43.2,1,2,35.29,C,4,0,0
873,3,female,33.7,3,3,71.52,C,7,0,0
887,2,female,10.3,4,3,12.25,C,8,0,0
893,3,male,30.6,5,0,86.76,C,6,0,0
900,2,female,19.3,5,1,98.73,C,7,0,0
901,1,male,15.9,5,3,25.85,C,9,0,0
902,2,male,5.4,1,2,5.37,C,4,0,0
913,1,female,46.4,1,2,12.92,C,4,0,0
927,3,male,36.8,3,3,0.21,C,7,0,0
933,1,male,37.5,0,2,26.84,C,3,0,0
936,2,male,21.1,3,4,1.85,C,8,0,0
939,3,male,17.3,3,2,20.88,C,6,0,0
949,3,male,11.7,2,0,4.09,C,3,0,0
956,3,male,16.4,2,1,36.16,C,4,0,0
967,3,male,20.7,0,3,3.31,C,4,0,0
968,2,male,42.7,2,0,41.01,C,3,0,0
979,1,female,5.7,0,0,15.62,C,1,1,0
987,2,male,10.6,0,4,13.82,C,5,0,0
1000,1,male,58.5,2,3,15.23,C,6,0,0
1009,2,male,14.4,1,4,40.76,C,6,0,0
1013,3,male,15.1,5,4,2.13,C,10,0,0
1028,2,female,64.5,3,2,14.41,C,6,0,0
1030,3,male,24.0,0,0,28.92,C,1,1,0
1031,1,female,24.6,2,1,65.09,C,4,0,0
1033,2,male,39.2,1,0,7.92,C,2,0,0
1042,1,female,63.5,2,1,16.01,C,4,0,0
1045,3,female,13.7,3,4,4.87,C,8,0,0
1051,3,male,28.8,4,0,14.46,C,5,0,0
1063,2,male,33.4,1,4,8.82,C,6,0,0
1072,3,male,28.3,2,2,31.44,C,5,0,0
1078,3,female,20.4,2,0,53.44,C,3,0,0
1086,3,female,39.5,0,1,8.58,C,2,0,0
1097,2,male,7.8,0,4,1.26,C,5,0,0
1099,3,male,14.9,0,2,5.39,C,3,0,0
1111,1,female,36.2,2,2,1.5,C,5,0,0
1128,3,male,23.8,0,4,72.69,C,5,0,0
1144,3,female,26.7,4,0,16.56,C,5,0,0
1167,3,male,5.3,2,3,35.42,C,6,0,0
1170,1,male,25.0,5,1,27.46,C,7,0,0
1179,1,female,38.7,5,3,34.66,C,9,0,0
1190,3,male,31.0,0,3,4.02,C,4,0,0
1191,1,male,23.7,2,2,4.53,C,5,0,0
1201,3,male,29.9,0,1,147.93,C,2,0,0
1203,3,female,32.3,2,1,37.74,C,4,0,0
1216,1,male,27.7,1,3,0.77,C,5,0,0
1222,2,female,10.7,1,1,20.89,C,3,0,0
1226,1,male,19.5,5,0,27.94,C,6,0,0
1231,1,male,27.3,3,2,56.55,C,6,0,0
1233,2,female,13.3,0,0,64.99,C,1,1,0
1253,1,male,13.6,0,1,46.75,C,2,0,0
1255,3,male,29.6,5,4,23.64,C,10,0,0
1258,1,male,41.6,1,2,104.86,C,4,0,0
1263,3,female,5.2,3,1,13.86,C,5,0,0
1280,2,male,36.0,4,3,46.14,C,8,0,0
1287,3,female,11.9,2,3,25.2,C,6,0,0
1291,1,female,43.3,2,2,29.02,C,5,0,0
1302,2,male,23.9,2,2,55.26,C,5,0,0
1303,2,female,32.0,0,0,6.11,C,1,1,0
1312,1,male,37.0,2,4,8.74,C,7,0,0
1326,1,male,13.0,4,0,11.41,C,5,0,0
1329,3,male,41.9,2,2,108.65,C,5,0,0
1345,3,male,12.3,3,1,36.04,C,5,0,0
1346,2,male,27.0,1,0,15.52,C,2,0,0
1347,1,male,24.3,5,1,25.5,C,7,0,0
1349,1,female,42.0,4,4,24.77,C,9,0,0
1389,1,female,37.8,0,4,30.37,C,5,0,0
1391,2,male,25.3,2,2,0.96,C,5,0,0
1393,1,female,41.6,0,2,20.22,C,3,0,0
1400,3,male,4.7,5,0,9.08,C,6,0,0
1411,3,male,46.3,1,3,30.59,C,5,0,0
1412,3,male,40.2,0,4,14.47,C,5,0,0
1421,2,female,11.7,5,3,45.86,C,9,0,0
1431,3,male,31.8,3,2,2.86,C,6,0,0
1435,3,male,41.4,2,3,36.95,C,6,0,0
1445,3,male,36.3,3,3,8.08,C,7,0,0
1453,3,male,37.5,5,1,6.37,C,7,0,0
1467,1,female,26.9,0,2,13.04,C,3,0,0
1473,2,female,34.8,3,2,7.84,C,6,0,0
1481,3,female,14.9,2,0,34.22,C,3,0,0
