,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,IsAlone,Survived
6,2,female,34.6,3,0,53.03,S,4,0,0
20,2,female,31.8,4,3,33.17,S,8,0,0
26,2,male,39.4,1,3,119.33,S,5,0,0
29,2,male,55.7,4,1,13.73,Q,6,0,0
36,2,female,37.4,3,4,37.12,S,8,0,0
39,2,male,29.1,5,3,9.41,C,9,0,0
47,2,female,14.3,0,2,28.81,S,3,0,0
48,2,male,32.8,3,2,1.8,C,6,0,0
59,2,female,24.8,3,2,29.24,S,6,0,0
77,2,male,29.2,4,2,17.75,S,7,0,0
79,2,male,0.0,4,0,1.32,Q,5,0,0
82,2,female,12.5,3,1,3.65,S,5,0,0
84,2,male,44.3,4,3,14.15,S,8,0,0
89,2,male,22.6,0,3,53.83,S,4,0,0
93,2,female,55.1,0,2,6.41,S,3,0,0
96,2,female,3.5,3,3,1.54,S,7,0,0
125,2,female,41.1,2,2,19.33,S,5,0,0
129,2,male,43.9,0,3,48.85,S,4,0,0
130,2,male,47.6,3,2,4.25,S,6,0,0
138,2,female,36.7,3,3,66.52,S,7,0,0
143,2,male,42.1,2,1,30.16,S,4,0,0
158,2,male,37.5,3,3,50.57,S,7,0,0
160,2,male,36.5,2,4,20.52,S,7,0,0
164,2,male,29.7,0,2,11.25,S,3,0,0
173,2,male,28.6,3,0,10.63,Q,4,0,0
177,2,male,36.2,3,2,2.0,C,6,0,0
194,2,female,36.1,5,0,17.3,C,6,0,0
195,2,female,33.8,3,4,2.08,S,8,0,0
202,2,female,10.8,2,2,18.66,S,5,0,0
205,2,male,38.1,3,2,3.08,S,6,0,0
227,2,female,22.8,3,1,32.07,S,5,0,0
236,2,female,43.9,2,1,27.14,S,4,0,0
274,2,male,29.9,4,2,24.72,C,7,0,0
283,2,male,60.1,1,2,4.01,S,4,0,0
290,2,male,47.3,2,2,48.41,C,5,0,0
294,2,female,33.8,4,3,6.82,S,8,0,0
299,2,male,31.2,2,0,23.58,S,3,0,0
341,2,female,19.1,4,3,2.4,S,8,0,0
342,2,male,44.2,3,2,13.07,S,6,0,0
354,2,male,32.0,3,3,5.54,S,7,0,0
359,2,male,37.0,5,2,45.04,S,8,0,0
369,2,female,35.6,0,0,0.05,S,1,1,0
387,2,female,46.8,2,4,2.12,S,7,0,0
392,2,male,27.6,4,4,4.21,S,9,0,0
407,2,male,31.2,4,3,48.47,S,8,0,0
409,2,male,29.9,5,2,9.81,S,8,0,0
413,2,female,18.3,2,0,21.04,S,3,0,0
417,2,female,29.7,1,0,14.98,S,2,0,0
429,2,male,27.3,3,1,34.88,S,5,0,0
434,2,female,40.7,3,2,115.49,S,6,0,0
448,2,male,45.7,5,0,2.05,Q,6,0,0
449,2,male,38.3,4,4,6.58,S,9,0,0
463,2,male,38.6,0,0,11.26,S,1,1,0
493,2,male,29.7,2,3,1.22,S,6,0,0
494,2,female,48.3,3,4,34.88,S,8,0,0
496,2,female,43.9,1,1,10.87,S,3,0,0
502,2,male,40.7,3,4,4.52,S,8,0,0
510,2,male,40.6,1,0,46.2,C,2,0,0
541,2,female,23.6,3,4,50.12,S,8,0,0
564,2,male,62.0,2,0,8.25,S,3,0,0
567,2,male,8.8,1,1,52.8,S,3,0,0
585,2,male,28.6,3,3,43.55,S,7,0,0
587,2,female,2.4,3,0,0.34,S,4,0,0
595,2,male,35.6,5,3,85.8,S,9,0,0
600,2,male,38.3,0,2,25.29,S,3,0,0
604,2,male,30.5,0,3,147.52,C,4,0,0
613,2,female,11.6,1,1,9.33,S,3,0,0
620,2,male,17.9,1,1,60.19,S,3,0,0
625,2,male,39.4,2,3,259.95,S,6,0,0
634,2,male,36.9,2,1,7.55,C,4,0,0
641,2,male,54.4,1,0,14.79,C,2,0,0
643,2,male,13.2,0,3,17.87,S,4,0,0
644,2,female,13.2,1,2,11.59,S,4,0,0
655,2,male,23.0,2,1,48.84,Q,4,0,0
656,2,male,20.4,1,1,34.88,S,3,0,0
659,2,male,37.7,1,1,40.09,C,3,0,0
660,2,female,39.3,3,4,51.22,S,8,0,0
663,2,female,9.8,0,2,49.98,S,3,0,0
676,2,female,26.2,3,2,133.64,S,6,0,0
694,2,female,16.5,2,0,37.17,S,3,0,0
700,2,female,26.0,4,4,43.65,Q,9,0,0
702,2,female,27.5,0,4,3.41,C,5,0,0
706,2,male,30.6,5,2,0.35,S,8,0,0
718,2,female,46.2,1,4,3.14,S,6,0,0
728,2,male,22.3,0,4,14.38,S,5,0,0
733,2,male,27.3,0,2,5.91,S,3,0,0
736,2,female,19.0,4,1,44.32,S,6,0,0
738,2,male,30.7,1,2,16.48,C,4,0,0
739,2,male,26.9,1,3,8.73,S,5,0,0
740,2,male,25.9,5,1,25.51,S,7,0,0
753,2,male,13.4,2,4,3.7,C,7,0,0
757,2,female,40.7,5,3,5.4,S,9,0,0
761,2,male,24.1,1,1,16.7,C,3,0,0
