,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,IsAlone,Survived
0,3,male,43.2,4,3,23.01,S,8,0,0
8,3,female,39.2,3,2,0.25,S,6,0,0
13,3,female,13.4,3,1,31.48,S,5,0,0
14,3,male,35.3,5,0,26.15,C,6,0,0
15,3,female,22.5,2,1,15.27,C,4,0,0
16,3,male,22.8,5,3,19.82,S,9,0,0
17,3,male,21.1,3,2,147.67,S,6,0,0
19,3,male,29.6,4,1,42.02,S,6,0,0
21,3,male,20.3,4,1,34.87,S,6,0,0
23,3,female,15.3,3,1,7.81,S,5,0,0
27,3,female,18.7,1,1,20.98,S,3,0,0
28,3,male,42.3,1,4,17.74,S,6,0,0
30,3,male,29.0,1,3,53.14,C,5,0,0
31,3,male,47.4,2,1,9.44,S,4,0,0
37,3,male,31.5,0,4,28.43,C,5,0,0
40,3,male,30.9,4,3,52.11,C,8,0,0
44,3,male,22.0,3,1,16.24,S,5,0,0
49,3,female,24.5,4,4,77.9,C,9,0,0
54,3,male,45.3,2,3,0.14,S,6,0,0
57,3,male,36.8,4,1,3.01,C,6,0,0
65,3,male,34.8,3,1,37.16,S,5,0,0
72,3,male,37.3,3,0,43.05,S,4,0,0
95,3,female,53.7,1,1,85.08,S,3,0,0
97,3,male,20.2,1,4,20.31,S,6,0,0
98,3,female,34.7,0,4,14.95,S,5,0,0
100,3,male,0.2,5,4,12.74,S,10,0,0
103,3,male,32.5,2,3,94.07,S,6,0,0
105,3,male,20.0,4,3,8.58,S,8,0,0
108,3,male,44.7,0,1,5.85,Q,2,0,0
110,3,male,34.7,0,2,58.81,C,3,0,0
111,3,male,30.0,2,3,8.53,S,6,0,0
117,3,male,16.5,3,4,73.47,S,8,0,0
119,3,male,42.1,2,2,7.6,Q,5,0,0
122,3,female,22.1,5,1,166.81,S,7,0,0
123,3,male,21.8,1,4,30.47,S,6,0,0
128,3,female,30.8,5,0,11.5,S,6,0,0
131,3,male,25.3,4,3,6.15,C,8,0,0
132,3,female,37.0,0,2,30.48,S,3,0,0
141,3,female,0.0,1,3,3.51,S,5,0,0
142,3,male,19.0,4,4,1.76,S,9,0,0
144,3,female,42.6,1,0,27.19,C,2,0,0
145,3,male,18.7,1,1,3.15,S,3,0,0
146,3,female,31.3,0,3,14.27,S,4,0,0
147,3,male,26.4,3,4,12.18,S,8,0,0
148,3,male,38.7,0,0,13.42,S,1,1,0
151,3,male,19.6,1,4,13.96,S,6,0,0
152,3,female,27.9,5,4,12.84,S,10,0,0
155,3,female,20.4,2,0,34.51,Q,3,0,0
163,3,male,27.6,1,0,14.85,S,2,0,0
168,3,female,36.7,2,3,81.78,S,6,0,0
169,3,male,25.9,4,0,14.43,S,5,0,0
172,3,male,4.6,2,4,74.77,S,7,0,0
175,3,male,45.9,0,4,17.39,S,5,0,0
187,3,male,32.8,5,3,4.99,S,9,0,0
189,3,male,60.6,2,1,31.29,S,4,0,0
190,3,male,21.5,0,4,18.51,C,5,0,0
201,3,male,14.1,1,0,62.78,S,2,0,0
204,3,female,0.0,1,2,28.15,C,4,0,0
206,3,female,30.6,1,1,140.64,S,3,0,0
210,3,female,35.6,0,4,22.38,S,5,0,0
215,3,male,32.4,3,2,52.06,S,6,0,0
216,3,male,30.9,4,0,64.67,S,5,0,0
221,3,male,44.2,3,4,53.37,S,8,0,0
222,3,female,40.2,1,0,90.52,S,2,0,0
223,3,male,23.2,1,3,88.47,S,5,0,0
231,3,male,0.4,1,1,52.55,S,3,0,0
232,3,female,17.0,1,1,14.37,S,3,0,0
233,3,male,38.5,5,3,29.47,C,9,0,0
237,3,male,36.2,2,0,49.54,C,3,0,0
243,3,female,17.7,2,2,85.14,S,5,0,0
246,3,female,32.7,0,3,3.6,S,4,0,0
251,3,male,15.9,3,2,61.08,S,6,0,0
253,3,male,39.4,0,3,10.61,S,4,0,0
254,3,female,36.2,2,2,14.1,C,5,0,0
255,3,male,13.8,0,3,22.51,C,4,0,0
258,3,male,36.0,5,3,24.0,Q,9,0,0
259,3,female,17.8,2,4,2.44,S,7,0,0
260,3,male,43.6,5,0,16.23,S,6,0,0
262,3,female,45.6,0,4,11.83,C,5,0,0
263,3,male,7.5,3,3,12.89,C,7,0,0
275,3,female,0.9,1,0,62.65,S,2,0,0
281,3,male,46.7,2,0,5.31,Q,3,0,0
282,3,male,16.5,1,3,33.59,S,5,0,0
284,3,female,41.0,1,2,56.57,Q,4,0,0
285,3,male,47.0,5,2,19.0,C,8,0,0
286,3,male,14.6,4,1,29.76,C,6,0,0
287,3,female,54.0,2,1,2.59,S,4,0,0
288,3,male,12.0,4,2,3.14,S,7,0,0
289,3,female,26.1,2,1,8.61,S,4,0,0
291,3,male,36.1,3,3,21.29,S,7,0,0
293,3,female,44.9,4,1,60.59,S,6,0,0
295,3,female,23.2,1,3,9.61,S,5,0,0
300,3,female,6.8,1,1,78.9,C,3,0,0
301,3,male,23.1,1,3,9.89,C,5,0,0
306,3,male,40.0,0,2,10.36,C,3,0,0
307,3,female,32.3,2,3,24.41,S,6,0,0
310,3,male,37.6,0,0,23.65,C,1,1,0
311,3,female,21.6,3,2,39.58,S,6,0,0
318,3,male,35.2,4,0,0.24,S,5,0,0
319,3,female,5.6,5,0,70.13,S,6,0,0
320,3,female,33.1,0,0,55.95,S,1,1,0
323,3,male,35.5,0,2,3.55,S,3,0,0
326,3,female,13.3,5,0,1.69,Q,6,0,0
328,3,male,10.2,5,2,94.7,S,8,0,0
329,3,male,37.1,4,2,96.6,C,7,0,0
332,3,male,29.2,1,0,4.87,S,2,0,0
333,3,male,29.5,4,0,17.04,Q,5,0,0
334,3,female,43.3,0,0,41.54,S,1,1,0
335,3,male,26.2,5,0,10.68,S,6,0,0
338,3,male,44.6,0,3,46.14,S,4,0,0
340,3,male,14.0,3,2,43.29,S,6,0,0
344,3,male,19.8,3,1,50.68,S,5,0,0
345,3,male,15.5,2,4,12.28,S,7,0,0
347,3,male,39.4,5,1,10.21,S,7,0,0
353,3,female,55.7,0,2,7.0,Q,3,0,0
356,3,male,34.4,1,2,25.4,C,4,0,0
357,3,male,20.1,3,3,58.45,C,7,0,0
360,3,female,47.8,4,0,37.91,S,5,0,0
371,3,male,38.2,5,0,24.54,S,6,0,0
372,3,female,38.2,2,1,19.73,S,4,0,0
375,3,female,22.3,0,4,19.52,S,5,0,0
377,3,female,39.7,3,2,60.67,S,6,0,0
380,3,male,34.5,1,2,63.89,S,4,0,0
391,3,female,19.6,1,1,60.37,S,3,0,0
394,3,male,16.6,0,1,57.93,S,2,0,0
397,3,male,26.7,3,2,11.18,S,6,0,0
400,3,female,36.4,1,0,3.61,S,2,0,0
402,3,male,25.5,5,1,82.69,S,7,0,0
404,3,female,26.7,5,1,60.95,C,7,0,0
406,3,male,37.0,2,4,38.66,S,7,0,0
410,3,male,19.5,2,1,45.78,S,4,0,0
415,3,male,22.1,4,4,7.72,S,9,0,0
423,3,male,63.2,0,2,12.58,S,3,0,0
424,3,female,15.2,4,0,81.3,S,5,0,0
425,3,male,29.6,5,0,70.3,S,6,0,0
426,3,female,12.3,3,2,29.65,Q,6,0,0
428,3,female,19.6,0,1,50.3,S,2,0,0
430,3,male,31.2,1,4,26.61,S,6,0,0
432,3,male,4.0,3,4,4.62,S,8,0,0
433,3,male,49.0,0,4,85.16,S,5,0,0
436,3,male,16.5,2,4,93.88,S,7,0,0
440,3,male,41.1,0,2,7.18,S,3,0,0
442,3,male,4.6,1,4,9.66,S,6,0,0
443,3,male,24.7,5,2,3.17,Q,8,0,0
452,3,male,10.2,0,0,83.55,S,1,1,0
455,3,male,29.9,4,3,60.84,S,8,0,0
456,3,male,23.5,4,2,22.58,S,7,0,0
458,3,female,41.3,0,4,119.17,S,5,0,0
459,3,female,19.1,0,0,5.66,S,1,1,0
465,3,female,38.4,4,1,59.83,Q,6,0,0
466,3,male,34.8,3,3,9.83,S,7,0,0
468,3,male,13.9,4,4,56.4,C,9,0,0
472,3,male,33.7,2,0,3.26,S,3,0,0
474,3,male,1.9,1,3,6.92,S,5,0,0
476,3,female,43.6,2,0,3.63,S,3,0,0
477,3,male,38.8,4,1,3.98,Q,6,0,0
482,3,female,29.6,5,3,28.99,S,9,0,0
484,3,male,26.3,1,2,15.15,C,4,0,0
486,3,female,41.5,2,4,6.18,Q,7,0,0
490,3,male,29.4,5,1,13.64,S,7,0,0
492,3,male,23.7,2,1,39.28,S,4,0,0
495,3,male,23.0,3,3,4.09,S,7,0,0
501,3,female,42.7,1,0,35.27,S,2,0,0
505,3,male,51.6,2,2,56.1,S,5,0,0
511,3,male,14.2,4,4,5.36,C,9,0,0
514,3,male,8.7,0,4,19.79,S,5,0,0
