,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,IsAlone,Survived
12,3,female,13.4,2,1,0.87,Q,4,0,1
29,2,male,55.7,4,1,13.73,Q,6,0,0
32,1,female,39.5,3,0,23.03,Q,4,0,0
35,3,male,36.0,1,0,10.63,Q,2,0,1
38,3,male,31.3,0,3,12.74,Q,4,0,1
67,3,male,32.5,0,3,13.29,Q,4,0,1
79,2,male,0.0,4,0,1.32,Q,5,0,0
108,3,male,44.7,0,1,5.85,Q,2,0,0
119,3,male,42.1,2,2,7.6,Q,5,0,0
139,3,male,27.7,3,2,2.45,Q,6,0,1
155,3,female,20.4,2,0,34.51,Q,3,0,0
173,2,male,28.6,3,0,10.63,Q,4,0,0
181,1,female,42.0,0,1,87.59,Q,2,0,0
198,1,female,35.0,5,4,15.34,Q,10,0,1
214,3,male,55.0,4,0,4.63,Q,5,0,1
240,3,female,14.2,4,0,36.64,Q,5,0,1
258,3,male,36.0,5,3,24.0,Q,9,0,0
280,3,male,23.8,5,2,13.6,Q,8,0,1
281,3,male,46.7,2,0,5.31,Q,3,0,0
284,3,female,41.0,1,2,56.57,Q,4,0,0
315,3,male,41.6,1,0,7.57,Q,2,0,1
322,1,female,16.5,4,4,39.1,Q,9,0,1
326,3,female,13.3,5,0,1.69,Q,6,0,0
333,3,male,29.5,4,0,17.04,Q,5,0,0
353,3,female,55.7,0,2,7.0,Q,3,0,0
378,3,male,39.1,1,2,10.1,Q,4,0,1
384,3,male,39.2,3,2,58.75,Q,6,0,1
414,3,male,27.3,5,3,46.46,Q,9,0,1
420,2,female,26.5,1,4,81.16,Q,6,0,1
426,3,female,12.3,3,2,29.65,Q,6,0,0
431,3,female,22.1,5,0,42.93,Q,6,0,1
443,3,male,24.7,5,2,3.17,Q,8,0,0
448,2,male,45.7,5,0,2.05,Q,6,0,0
451,1,female,32.9,3,3,70.34,Q,7,0,0
465,3,female,38.4,4,1,59.83,Q,6,0,0
473,1,male,32.7,1,2,20.84,Q,4,0,1
477,3,male,38.8,4,1,3.98,Q,6,0,0
486,3,female,41.5,2,4,6.18,Q,7,0,0
491,1,female,14.4,4,2,20.46,Q,7,0,1
503,3,female,43.9,5,1,107.09,Q,7,0,1
520,1,male,39.6,2,0,4.4,Q,3,0,0
522,2,female,5.7,0,3,41.83,Q,4,0,1
538,3,male,6.3,3,1,9.82,Q,5,0,0
543,3,male,29.7,3,3,65.08,Q,7,0,1
558,3,male,0.0,1,2,25.35,Q,4,0,1
589,1,female,36.5,5,2,8.02,Q,8,0,0
601,3,female,18.6,2,2,6.36,Q,5,0,0
605,1,male,23.4,0,2,15.08,Q,3,0,0
622,3,female,28.4,0,3,5.48,Q,4,0,0
627,3,male,35.4,2,1,34.14,Q,4,0,1
628,3,female,0.0,0,3,52.22,Q,4,0,0
633,3,male,30.2,5,1,68.27,Q,7,0,0
638,3,male,21.9,5,4,48.06,Q,10,0,0
651,1,male,25.8,2,1,32.69,Q,4,0,0
655,2,male,23.0,2,1,48.84,Q,4,0,0
