,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,IsAlone,Survived
6,2,female,34.6,3,0,53.03,S,4,0,0
20,2,female,31.8,4,3,33.17,S,8,0,0
26,2,male,39.4,1,3,119.33,S,5,0,0
29,2,male,55.7,4,1,13.73,Q,6,0,0
36,2,female,37.4,3,4,37.12,S,8,0,0
39,2,male,29.1,5,3,9.41,C,9,0,0
47,2,female,14.3,0,2,28.81,S,3,0,0
48,2,male,32.8,3,2,1.8,C,6,0,0
59,2,female,24.8,3,2,29.24,S,6,0,0
77,2,male,29.2,4,2,17.75,S,7,0,0
79,2,male,0.0,4,0,1.32,Q,5,0,0
82,2,female,12.5,3,1,3.65,S,5,0,0
84,2,male,44.3,4,3,14.15,S,8,0,0
89,2,male,22.6,0,3,53.83,S,4,0,0
93,2,female,55.1,0,2,6.41,S,3,0,0
96,2,female,3.5,3,3,1.54,S,7,0,0
107,2,male,28.8,5,4,39.21,S,10,0,1
125,2,female,41.1,2,2,19.33,S,5,0,0
129,2,male,43.9,0,3,48.85,S,4,0,0
130,2,male,47.6,3,2,4.25,S,6,0,0
137,2,female,50.3,1,4,76.48,S,6,0,1
138,2,female,36.7,3,3,66.52,S,7,0,0
143,2,male,42.1,2,1,30.16,S,4,0,0
156,2,male,38.9,0,0,13.37,S,1,1,1
158,2,male,37.5,3,3,50.57,S,7,0,0
159,2,male,20.5,3,3,13.5,C,7,0,1
160,2,male,36.5,2,4,20.52,S,7,0,0
162,2,female,33.9,3,3,80.16,S,7,0,1
164,2,male,29.7,0,2,11.25,S,3,0,0
173,2,male,28.6,3,0,10.63,Q,4,0,0
176,2,male,17.7,0,0,12.03,S,1,1,1
177,2,male,36.2,3,2,2.0,C,6,0,0
186,2,male,13.5,0,2,17.29,C,3,0,1
192,2,male,33.2,4,3,46.35,S,8,0,1
193,2,female,7.9,3,2,6.33,S,6,0,1
194,2,female,36.1,5,0,17.3,C,6,0,0
195,2,female,33.8,3,4,2.08,S,8,0,0
202,2,female,10.8,2,2,18.66,S,5,0,0
205,2,male,38.1,3,2,3.08,S,6,0,0
218,2,male,18.6,0,4,20.84,S,5,0,1
219,2,male,41.5,0,0,71.12,S,1,1,1
227,2,female,22.8,3,1,32.07,S,5,0,0
236,2,female,43.9,2,1,27.14,S,4,0,0
238,2,male,13.8,4,3,9.19,S,8,0,1
247,2,male,34.8,2,1,13.44,C,4,0,1
249,2,male,48.1,1,2,4.31,S,4,0,1
265,2,male,25.6,1,4,9.86,S,6,0,1
272,2,male,41.4,4,2,27.73,S,7,0,1
274,2,male,29.9,4,2,24.72,C,7,0,0
276,2,male,40.4,1,4,3.84,C,6,0,1
278,2,male,12.1,4,1,22.59,S,6,0,1
283,2,male,60.1,1,2,4.01,S,4,0,0
290,2,male,47.3,2,2,48.41,C,5,0,0
294,2,female,33.8,4,3,6.82,S,8,0,0
299,2,male,31.2,2,0,23.58,S,3,0,0
303,2,male,55.3,5,4,117.94,C,10,0,1
337,2,female,0.0,5,0,63.23,S,6,0,1
341,2,female,19.1,4,3,2.4,S,8,0,0
342,2,male,44.2,3,2,13.07,S,6,0,0
346,2,male,32.6,5,3,103.26,C,9,0,1
354,2,male,32.0,3,3,5.54,S,7,0,0
358,2,female,0.0,5,3,7.84,S,9,0,1
359,2,male,37.0,5,2,45.04,S,8,0,0
369,2,female,35.6,0,0,0.05,S,1,1,0
381,2,male,48.2,4,0,123.63,S,5,0,1
387,2,female,46.8,2,4,2.12,S,7,0,0
392,2,male,27.6,4,4,4.21,S,9,0,0
395,2,female,25.4,1,2,4.26,S,4,0,1
396,2,female,30.0,3,4,35.85,S,8,0,1
405,2,male,31.1,0,0,11.55,S,1,1,1
407,2,male,31.2,4,3,48.47,S,8,0,0
408,2,male,36.7,1,4,74.14,S,6,0,1
409,2,male,29.9,5,2,9.81,S,8,0,0
413,2,female,18.3,2,0,21.04,S,3,0,0
417,2,female,29.7,1,0,14.98,S,2,0,0
419,2,female,35.2,3,2,15.41,S,6,0,1
420,2,female,26.5,1,4,81.16,Q,6,0,1
429,2,male,27.3,3,1,34.88,S,5,0,0
434,2,female,40.7,3,2,115.49,S,6,0,0
445,2,female,16.1,5,4,14.41,S,10,0,1
447,2,male,54.3,0,1,13.73,S,2,0,1
448,2,male,45.7,5,0,2.05,Q,6,0,0
449,2,male,38.3,4,4,6.58,S,9,0,0
462,2,male,31.7,4,3,22.73,C,8,0,1
463,2,male,38.6,0,0,11.26,S,1,1,0
488,2,male,36.0,1,0,47.79,S,2,0,1
493,2,male,29.7,2,3,1.22,S,6,0,0
494,2,female,48.3,3,4,34.88,S,8,0,0
496,2,female,43.9,1,1,10.87,S,3,0,0
502,2,male,40.7,3,4,4.52,S,8,0,0
507,2,male,22.8,1,2,6.03,S,4,0,1
510,2,male,40.6,1,0,46.2,C,2,0,0
517,2,female,4.8,1,2,18.72,S,4,0,1
