,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,IsAlone,Survived
107,2,male,28.8,5,4,39.21,S,10,0,1
137,2,female,50.3,1,4,76.48,S,6,0,1
156,2,male,38.9,0,0,13.37,S,1,1,1
159,2,male,20.5,3,3,13.5,C,7,0,1
162,2,female,33.9,3,3,80.16,S,7,0,1
176,2,male,17.7,0,0,12.03,S,1,1,1
186,2,male,13.5,0,2,17.29,C,3,0,1
192,2,male,33.2,4,3,46.35,S,8,0,1
193,2,female,7.9,3,2,6.33,S,6,0,1
218,2,male,18.6,0,4,20.84,S,5,0,1
219,2,male,41.5,0,0,71.12,S,1,1,1
238,2,male,13.8,4,3,9.19,S,8,0,1
247,2,male,34.8,2,1,13.44,C,4,0,1
249,2,male,48.1,1,2,4.31,S,4,0,1
265,2,male,25.6,1,4,9.86,S,6,0,1
272,2,male,41.4,4,2,27.73,S,7,0,1
276,2,male,40.4,1,4,3.84,C,6,0,1
278,2,male,12.1,4,1,22.59,S,6,0,1
303,2,male,55.3,5,4,117.94,C,10,0,1
337,2,female,0.0,5,0,63.23,S,6,0,1
346,2,male,32.6,5,3,103.26,C,9,0,1
358,2,female,0.0,5,3,7.84,S,9,0,1
381,2,male,48.2,4,0,123.63,S,5,0,1
395,2,female,25.4,1,2,4.26,S,4,0,1
396,2,female,30.0,3,4,35.85,S,8,0,1
405,2,male,31.1,0,0,11.55,S,1,1,1
408,2,male,36.7,1,4,74.14,S,6,0,1
419,2,female,35.2,3,2,15.41,S,6,0,1
420,2,female,26.5,1,4,81.16,Q,6,0,1
445,2,female,16.1,5,4,14.41,S,10,0,1
447,2,male,54.3,0,1,13.73,S,2,0,1
462,2,male,31.7,4,3,22.73,C,8,0,1
488,2,male,36.0,1,0,47.79,S,2,0,1
507,2,male,22.8,1,2,6.03,S,4,0,1
517,2,female,4.8,1,2,18.72,S,4,0,1
522,2,female,5.7,0,3,41.83,Q,4,0,1
534,2,female,59.8,1,4,2.8,S,6,0,1
536,2,male,39.2,2,1,37.61,S,4,0,1
540,2,female,22.5,2,2,102.87,S,5,0,1
547,2,female,41.4,0,1,13.98,S,2,0,1
551,2,female,31.2,3,4,53.37,S,8,0,1
554,2,male,31.4,3,3,23.72,S,7,0,1
581,2,female,11.8,2,0,68.57,S,3,0,1
612,2,male,56.1,3,2,22.07,S,6,0,1
615,2,female,51.0,2,4,18.75,S,7,0,1
619,2,male,46.9,0,4,39.53,S,5,0,1
630,2,female,22.6,5,2,31.81,S,8,0,1
653,2,male,43.9,4,3,35.77,C,8,0,1
658,2,female,31.7,2,2,1.45,C,5,0,1
679,2,male,38.5,4,0,8.91,S,5,0,1
705,2,female,9.7,5,4,27.01,S,10,0,1
720,2,male,21.6,3,3,28.24,C,7,0,1
735,2,female,20.4,0,4,5.93,Q,5,0,1
752,2,male,23.6,5,2,47.5,S,8,0,1
769,2,male,10.0,1,3,4.82,C,5,0,1
785,2,male,22.6,5,4,110.2,C,10,0,1
796,2,male,32.6,2,2,0.32,C,5,0,1
814,2,female,3.6,3,1,10.67,S,5,0,1
825,2,male,37.0,3,3,5.52,S,7,0,1
828,2,male,52.1,4,2,25.07,S,7,0,1
843,2,male,22.7,5,4,2.1,C,10,0,1
869,2,male,21.7,1,2,5.44,S,4,0,1
894,2,female,32.3,0,0,1.78,C,1,1,1
923,2,female,45.3,5,3,53.28,Q,9,0,1
928,2,female,17.6,3,2,56.69,S,6,0,1
931,2,male,24.8,4,0,64.53,S,5,0,1
953,2,male,12.4,4,1,7.51,S,6,0,1
991,2,female,43.3,0,3,6.91,S,4,0,1
1011,2,male,7.1,4,3,32.98,S,8,0,1
1012,2,male,30.9,5,0,35.1,S,6,0,1
1023,2,female,26.2,4,0,43.24,S,5,0,1
1044,2,male,11.0,2,4,41.01,S,7,0,1
1056,2,male,33.4,2,1,28.23,Q,4,0,1
1060,2,male,9.8,5,2,34.48,C,8,0,1
1090,2,male,51.8,1,4,60.25,S,6,0,1
1110,2,male,46.2,2,0,25.99,S,3,0,1
1117,2,female,43.7,1,2,2.19,C,4,0,1
1123,2,male,12.7,5,2,21.75,S,8,0,1
1136,2,male,18.7,2,4,0.15,S,7,0,1
1148,2,male,0.7,0,0,45.19,S,1,1,1
1153,2,male,18.8,0,4,7.55,S,5,0,1
1155,2,male,18.8,3,1,14.69,S,5,0,1
1158,2,male,16.3,0,0,17.51,S,1,1,1
1163,2,male,43.1,5,1,10.61,Q,7,0,1
