,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,IsAlone,Survived
0,3,male,43.2,4,3,23.01,S,8,0,0
2,3,female,47.2,1,4,131.88,S,6,0,1
3,1,male,15.7,0,4,3.42,S,5,0,0
4,1,male,49.6,2,0,54.24,S,3,0,0
6,2,female,34.6,3,0,53.03,S,4,0,0
7,3,male,14.9,5,0,61.47,S,6,0,1
8,3,female,39.2,3,2,0.25,S,6,0,0
9,1,male,39.7,2,2,8.67,S,5,0,1
10,1,male,24.5,4,4,1.86,S,9,0,0
11,1,female,0.0,2,4,22.11,S,7,0,1
13,3,female,13.4,3,1,31.48,S,5,0,0
16,3,male,22.8,5,3,19.82,S,9,0,0
17,3,male,21.1,3,2,147.67,S,6,0,0
18,1,female,49.6,5,4,5.87,S,10,0,0
19,3,male,29.6,4,1,42.02,S,6,0,0
20,2,female,31.8,4,3,33.17,S,8,0,0
21,3,male,20.3,4,1,34.87,S,6,0,0
22,1,male,28.6,5,4,13.57,S,10,0,0
23,3,female,15.3,3,1,7.81,S,5,0,0
25,3,male,12.9,5,1,78.04,S,7,0,1
26,2,male,39.4,1,3,119.33,S,5,0,0
27,3,female,18.7,1,1,20.98,S,3,0,0
28,3,male,42.3,1,4,17.74,S,6,0,0
31,3,male,47.4,2,1,9.44,S,4,0,0
33,3,male,8.9,1,4,13.54,S,6,0,1
36,2,female,37.4,3,4,37.12,S,8,0,0
42,1,male,25.7,4,1,30.25,S,6,0,0
44,3,male,22.0,3,1,16.24,S,5,0,0
45,3,male,20.7,3,2,53.87,S,6,0,1
46,1,male,19.8,3,2,32.58,S,6,0,0
47,2,female,14.3,0,2,28.81,S,3,0,0
50,3,male,23.1,1,3,8.31,S,5,0,1
51,3,female,9.3,0,4,20.51,S,5,0,1
53,3,female,45.0,1,4,23.64,S,6,0,1
54,3,male,45.3,2,3,0.14,S,6,0,0
55,3,female,34.2,4,1,95.25,S,6,0,1
56,1,female,24.9,0,3,0.66,S,4,0,0
58,1,male,19.7,1,0,8.12,S,2,0,0
59,2,female,24.8,3,2,29.24,S,6,0,0
60,1,male,18.6,2,4,113.45,S,7,0,0
61,1,male,41.7,4,2,81.9,S,7,0,0
62,1,female,39.9,2,0,33.72,S,3,0,1
63,1,male,28.5,1,0,43.31,S,2,0,0
64,1,female,53.2,4,1,39.82,S,6,0,0
65,3,male,34.8,3,1,37.16,S,5,0,0
68,1,male,11.3,5,2,8.0,S,8,0,0
69,3,female,16.5,1,4,13.67,S,6,0,1
70,3,male,28.2,4,0,1.59,S,5,0,1
71,1,male,28.4,0,4,109.2,S,5,0,0
72,3,male,37.3,3,0,43.05,S,4,0,0
73,1,female,19.6,3,1,7.68,S,5,0,1
74,3,male,30.0,2,1,9.45,S,4,0,1
75,3,male,30.2,1,0,157.04,S,2,0,1
77,2,male,29.2,4,2,17.75,S,7,0,0
78,1,male,9.3,0,0,7.41,S,1,1,0
80,3,female,15.8,0,3,35.41,S,4,0,1
81,3,female,21.6,1,0,48.45,S,2,0,1
82,2,female,12.5,3,1,3.65,S,5,0,0
84,2,male,44.3,4,3,14.15,S,8,0,0
85,1,male,39.2,4,1,35.23,S,6,0,0
87,1,male,42.8,0,1,67.73,S,2,0,1
89,2,male,22.6,0,3,53.83,S,4,0,0
90,1,female,37.6,1,2,14.08,S,4,0,0
91,3,female,22.4,4,2,9.0,S,7,0,1
92,3,male,23.1,5,4,4.24,S,10,0,1
93,2,female,55.1,0,2,6.41,S,3,0,0
94,3,female,30.3,3,3,105.44,S,7,0,1
95,3,female,53.7,1,1,85.08,S,3,0,0
96,2,female,3.5,3,3,1.54,S,7,0,0
97,3,male,20.2,1,4,20.31,S,6,0,0
98,3,female,34.7,0,4,14.95,S,5,0,0
100,3,male,0.2,5,4,12.74,S,10,0,0
101,1,male,25.8,5,4,10.54,S,10,0,1
102,1,male,63.6,0,3,53.0,S,4,0,0
103,3,male,32.5,2,3,94.07,S,6,0,0
104,3,female,37.5,1,4,7.25,S,6,0,1
105,3,male,20.0,4,3,8.58,S,8,0,0
106,1,male,32.4,3,3,17.38,S,7,0,0
107,2,male,28.8,5,4,39.21,S,10,0,1
111,3,male,30.0,2,3,8.53,S,6,0,0
112,3,female,5.5,4,0,1.56,S,5,0,1
114,1,male,30.1,3,1,49.57,S,5,0,1
115,3,male,41.2,0,1,38.4,S,2,0,1
116,3,male,47.6,0,3,2.92,S,4,0,1
117,3,male,16.5,3,4,73.47,S,8,0,0
118,1,male,7.9,5,4,11.66,S,10,0,1
120,3,male,17.6,3,4,21.39,S,8,0,1
121,1,male,6.9,1,2,81.96,S,4,0,1
122,3,female,22.1,5,1,166.81,S,7,0,0
123,3,male,21.8,1,4,30.47,S,6,0,0
125,2,female,41.1,2,2,19.33,S,5,0,0
126,3,female,18.7,5,2,0.96,S,8,0,1
127,3,male,48.6,0,3,10.32,S,4,0,1
128,3,female,30.8,5,0,11.5,S,6,0,0
129,2,male,43.9,0,3,48.85,S,4,0,0
130,2,male,47.6,3,2,4.25,S,6,0,0
132,3,female,37.0,0,2,30.48,S,3,0,0
133,1,male,23.3,1,0,4.48,S,2,0,0
134,3,female,42.0,1,4,21.9,S,6,0,1
135,1,male,30.3,4,1,1.14,S,6,0,0
136,1,female,42.4,4,0,35.37,S,5,0,0
137,2,female,50.3,1,4,76.48,S,6,0,1
138,2,female,36.7,3,3,66.52,S,7,0,0
140,3,female,27.9,3,0,28.61,S,4,0,1
141,3,female,0.0,1,3,3.51,S,5,0,0
142,3,male,19.0,4,4,1.76,S,9,0,0
143,2,male,42.1,2,1,30.16,S,4,0,0
145,3,male,18.7,1,1,3.15,S,3,0,0
146,3,female,31.3,0,3,14.27,S,4,0,0
147,3,male,26.4,3,4,12.18,S,8,0,0
148,3,male,38.7,0,0,13.42,S,1,1,0
149,1,male,59.9,5,4,12.97,S,10,0,0
150,3,male,38.9,5,2,55.71,S,8,0,1
151,3,male,19.6,1,4,13.96,S,6,0,0
152,3,female,27.9,5,4,12.84,S,10,0,0
153,1,male,48.6,1,4,0.96,S,6,0,0
154,3,female,9.3,1,0,50.0,S,2,0,1
156,2,male,38.9,0,0,13.37,S,1,1,1
157,3,male,47.1,4,1,19.24,S,6,0,1
158,2,male,37.5,3,3,50.57,S,7,0,0
160,2,male,36.5,2,4,20.52,S,7,0,0
161,3,male,34.8,0,1,0.64,S,2,0,1
162,2,female,33.9,3,3,80.16,S,7,0,1
163,3,male,27.6,1,0,14.85,S,2,0,0
164,2,male,29.7,0,2,11.25,S,3,0,0
165,1,female,16.3,5,2,30.06,S,8,0,1
167,1,female,31.2,0,1,16.4,S,2,0,0
168,3,female,36.7,2,3,81.78,S,6,0,0
169,3,male,25.9,4,0,14.43,S,5,0,0
170,1,female,40.8,4,1,205.49,S,6,0,1
171,1,female,10.8,0,2,49.81,S,3,0,0
172,3,male,4.6,2,4,74.77,S,7,0,0
174,3,male,57.8,1,1,2.33,S,3,0,1
175,3,male,45.9,0,4,17.39,S,5,0,0
176,2,male,17.7,0,0,12.03,S,1,1,1
178,3,male,20.1,1,1,2.37,S,3,0,1
179,1,male,35.0,1,3,6.13,S,5,0,0
180,1,male,36.1,3,1,15.18,S,5,0,0
182,3,male,7.1,3,0,34.31,S,4,0,1
183,3,male,11.3,4,3,16.26,S,8,0,1
184,1,male,27.9,3,2,51.41,S,6,0,0
185,3,male,14.5,2,4,26.9,S,7,0,1
187,3,male,32.8,5,3,4.99,S,9,0,0
188,1,female,16.2,5,4,83.77,S,10,0,0
189,3,male,60.6,2,1,31.29,S,4,0,0
191,1,male,25.2,0,1,18.46,S,2,0,1
192,2,male,33.2,4,3,46.35,S,8,0,1
193,2,female,7.9,3,2,6.33,S,6,0,1
195,2,female,33.8,3,4,2.08,S,8,0,0
196,3,male,24.1,5,0,2.67,S,6,0,1
197,3,female,32.8,5,0,23.91,S,6,0,1
199,3,female,49.1,4,0,40.68,S,5,0,1
200,3,female,64.0,4,0,138.31,S,5,0,1
201,3,male,14.1,1,0,62.78,S,2,0,0
202,2,female,10.8,2,2,18.66,S,5,0,0
203,1,male,30.4,0,1,15.19,S,2,0,1
205,2,male,38.1,3,2,3.08,S,6,0,0
206,3,female,30.6,1,1,140.64,S,3,0,0
207,3,female,34.1,3,1,126.81,S,5,0,1
208,1,male,24.7,4,0,82.03,S,5,0,0
209,1,female,32.6,0,2,34.73,S,3,0,0
210,3,female,35.6,0,4,22.38,S,5,0,0
211,3,male,31.8,0,4,39.25,S,5,0,1
212,3,male,10.2,5,0,12.08,S,6,0,1
213,1,male,31.4,5,2,61.19,S,8,0,0
215,3,male,32.4,3,2,52.06,S,6,0,0
216,3,male,30.9,4,0,64.67,S,5,0,0
218,2,male,18.6,0,4,20.84,S,5,0,1
219,2,male,41.5,0,0,71.12,S,1,1,1
220,3,female,21.6,3,2,102.44,S,6,0,1
221,3,male,44.2,3,4,53.37,S,8,0,0
222,3,female,40.2,1,0,90.52,S,2,0,0
223,3,male,23.2,1,3,88.47,S,5,0,0
224,1,male,25.3,2,4,124.74,S,7,0,0
226,1,female,3.0,4,2,10.82,S,7,0,1
227,2,female,22.8,3,1,32.07,S,5,0,0
228,3,female,37.7,1,1,6.7,S,3,0,1
229,3,male,24.7,5,2,26.06,S,8,0,1
230,1,female,30.9,0,3,27.71,S,4,0,1
231,3,male,0.4,1,1,52.55,S,3,0,0
232,3,female,17.0,1,1,14.37,S,3,0,0
234,1,male,18.5,1,0,74.75,S,2,0,0
235,3,male,10.8,2,1,17.53,S,4,0,1
236,2,female,43.9,2,1,27.14,S,4,0,0
238,2,male,13.8,4,3,9.19,S,8,0,1
