,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,IsAlone,Survived
1,3,male,21.4,2,0,157.46,C,3,0,1
34,3,female,30.6,4,0,66.72,C,5,0,1
43,3,male,8.7,1,2,104.72,C,4,0,1
52,1,male,24.8,5,0,44.62,C,6,0,1
76,1,male,30.8,5,4,46.77,C,10,0,1
86,3,female,35.5,2,1,82.38,C,4,0,1
88,3,female,16.1,2,4,37.33,C,7,0,1
113,1,male,5.0,3,4,75.95,C,8,0,1
159,2,male,20.5,3,3,13.5,C,7,0,1
186,2,male,13.5,0,2,17.29,C,3,0,1
217,1,male,50.8,0,1,5.97,C,2,0,1
247,2,male,34.8,2,1,13.44,C,4,0,1
271,3,male,39.1,2,3,11.22,C,6,0,1
276,2,male,40.4,1,4,3.84,C,6,0,1
303,2,male,55.3,5,4,117.94,C,10,0,1
304,3,female,26.1,4,2,23.79,C,7,0,1
331,3,male,31.4,4,2,34.21,C,7,0,1
346,2,male,32.6,5,3,103.26,C,9,0,1
366,3,male,28.2,2,4,12.8,C,7,0,1
367,3,female,29.4,5,4,107.45,C,10,0,1
376,3,male,17.6,3,4,16.42,C,8,0,1
382,1,female,25.7,3,2,29.54,C,6,0,1
411,3,male,13.4,1,4,8.46,C,6,0,1
412,3,female,25.3,4,0,0.9,C,5,0,1
462,2,male,31.7,4,3,22.73,C,8,0,1
498,1,male,46.4,2,0,32.29,C,3,0,1
509,1,male,2.0,4,3,66.36,C,8,0,1
518,3,male,27.5,3,0,0.43,C,4,0,1
531,3,male,23.6,0,2,18.67,C,3,0,1
549,3,female,35.5,3,1,7.42,C,5,0,1
575,3,female,45.4,0,3,49.78,C,4,0,1
594,1,female,39.3,3,1,47.82,C,5,0,1
648,1,male,46.4,1,4,23.09,C,6,0,1
653,2,male,43.9,4,3,35.77,C,8,0,1
658,2,female,31.7,2,2,1.45,C,5,0,1
671,3,male,29.3,1,1,11.8,C,3,0,1
675,3,male,24.7,2,0,75.34,C,3,0,1
688,1,male,29.1,1,2,31.3,C,4,0,1
707,1,male,8.9,3,0,34.21,C,4,0,1
715,3,female,28.9,2,1,69.85,C,4,0,1
716,1,male,23.7,5,0,11.84,C,6,0,1
717,3,male,18.6,3,3,36.89,C,7,0,1
720,2,male,21.6,3,3,28.24,C,7,0,1
732,3,female,21.1,4,1,21.97,C,6,0,1
742,3,male,25.8,3,4,130.3,C,8,0,1
749,1,male,33.9,2,2,79.05,C,5,0,1
769,2,male,10.0,1,3,4.82,C,5,0,1
774,3,male,50.3,4,0,2.93,C,5,0,1
785,2,male,22.6,5,4,110.2,C,10,0,1
796,2,male,32.6,2,2,0.32,C,5,0,1
843,2,male,22.7,5,4,2.1,C,10,0,1
847,3,male,22.3,5,4,126.8,C,10,0,1
860,1,male,4.7,4,3,49.72,C,8,0,1
872,3,female,35.1,2,1,2.08,C,4,0,1
881,3,female,18.2,1,3,0.75,C,5,0,1
886,3,female,23.9,2,0,14.4,C,3,0,1
894,2,female,32.3,0,0,1.78,C,1,1,1
906,3,male,28.5,1,3,8.71,C,5,0,1
920,3,male,20.4,1,1,25.11,C,3,0,1
942,3,female,15.7,4,3,72.38,C,8,0,1
981,3,female,48.6,2,2,37.0,C,5,0,1
996,3,female,18.6,3,2,16.51,C,6,0,1
1005,1,male,28.7,5,3,11.39,C,9,0,1
1018,3,male,12.4,3,0,66.15,C,4,0,1
1054,3,male,35.2,2,4,22.74,C,7,0,1
1060,2,male,9.8,5,2,34.48,C,8,0,1
1065,3,female,68.7,1,1,41.86,C,3,0,1
1080,3,female,24.7,3,0,23.64,C,4,0,1
1083,3,male,19.3,4,2,20.99,C,7,0,1
1098,3,male,24.4,4,4,1.08,C,9,0,1
1104,3,male,22.6,2,1,21.99,C,4,0,1
1108,1,male,34.2,2,0,36.94,C,3,0,1
1117,2,female,43.7,1,2,2.19,C,4,0,1
1124,3,female,37.2,4,4,1.73,C,9,0,1
1149,3,male,17.4,0,0,13.52,C,1,1,1
1174,3,male,28.3,2,0,60.84,C,3,0,1
1182,2,male,39.1,3,4,12.82,C,8,0,1
1186,2,female,19.8,1,1,64.72,C,3,0,1
1193,3,female,42.8,1,0,3.97,C,2,0,1
1196,3,female,38.4,4,0,10.18,C,5,0,1
1206,3,male,21.2,0,3,8.23,C,4,0,1
1209,2,male,34.5,1,3,64.6,C,5,0,1
1225,3,male,39.5,0,0,8.64,C,1,1,1
1228,1,female,15.9,3,3,16.59,C,7,0,1
1238,3,male,20.7,4,3,25.68,C,8,0,1
1241,3,male,34.2,5,0,47.24,C,6,0,1
1271,3,male,38.7,2,2,28.71,C,5,0,1
