,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,IsAlone,Survived
12,3,female,13.4,2,1,0.87,Q,4,0,1
35,3,male,36.0,1,0,10.63,Q,2,0,1
38,3,male,31.3,0,3,12.74,Q,4,0,1
67,3,male,32.5,0,3,13.29,Q,4,0,1
139,3,male,27.7,3,2,2.45,Q,6,0,1
198,1,female,35.0,5,4,15.34,Q,10,0,1
214,3,male,55.0,4,0,4.63,Q,5,0,1
240,3,female,14.2,4,0,36.64,Q,5,0,1
280,3,male,23.8,5,2,13.6,Q,8,0,1
315,3,male,41.6,1,0,7.57,Q,2,0,1
322,1,female,16.5,4,4,39.1,Q,9,0,1
378,3,male,39.1,1,2,10.1,Q,4,0,1
384,3,male,39.2,3,2,58.75,Q,6,0,1
414,3,male,27.3,5,3,46.46,Q,9,0,1
420,2,female,26.5,1,4,81.16,Q,6,0,1
431,3,female,22.1,5,0,42.93,Q,6,0,1
473,1,male,32.7,1,2,20.84,Q,4,0,1
491,1,female,14.4,4,2,20.46,Q,7,0,1
503,3,female,43.9,5,1,107.09,Q,7,0,1
522,2,female,5.7,0,3,41.83,Q,4,0,1
543,3,male,29.7,3,3,65.08,Q,7,0,1
558,3,male,0.0,1,2,25.35,Q,4,0,1
627,3,male,35.4,2,1,34.14,Q,4,0,1
719,3,female,22.1,0,2,1.94,Q,3,0,1
735,2,female,20.4,0,4,5.93,Q,5,0,1
763,1,male,34.0,4,0,32.43,Q,5,0,1
798,1,male,14.7,1,2,30.16,Q,4,0,1
890,1,female,18.2,1,1,36.31,Q,3,0,1
892,3,male,43.1,1,4,50.74,Q,6,0,1
923,2,female,45.3,5,3,53.28,Q,9,0,1
998,3,male,25.8,1,0,37.8,Q,2,0,1
1006,3,male,27.3,4,3,105.81,Q,8,0,1
1041,3,male,23.8,2,0,30.13,Q,3,0,1
1052,3,female,32.5,1,4,2.03,Q,6,0,1
1056,2,male,33.4,2,1,28.23,Q,4,0,1
1130,3,male,19.3,1,3,25.93,Q,5,0,1
1163,2,male,43.1,5,1,10.61,Q,7,0,1
1171,3,female,28.3,2,2,4.33,Q,5,0,1
1185,3,male,45.3,3,0,11.88,Q,4,0,1
1213,2,male,10.6,1,1,2.34,Q,3,0,1
1217,3,male,38.0,0,1,7.95,Q,2,0,1
