,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,IsAlone,Survived
1,3,male,21.4,2,0,157.46,C,3,0,1
2,3,female,47.2,1,4,131.88,S,6,0,1
7,3,male,14.9,5,0,61.47,S,6,0,1
12,3,female,13.4,2,1,0.87,Q,4,0,1
25,3,male,12.9,5,1,78.04,S,7,0,1
33,3,male,8.9,1,4,13.54,S,6,0,1
34,3,female,30.6,4,0,66.72,C,5,0,1
35,3,male,36.0,1,0,10.63,Q,2,0,1
38,3,male,31.3,0,3,12.74,Q,4,0,1
43,3,male,8.7,1,2,104.72,C,4,0,1
45,3,male,20.7,3,2,53.87,S,6,0,1
50,3,male,23.1,1,3,8.31,S,5,0,1
51,3,female,9.3,0,4,20.51,S,5,0,1
53,3,female,45.0,1,4,23.64,S,6,0,1
55,3,female,34.2,4,1,95.25,S,6,0,1
67,3,male,32.5,0,3,13.29,Q,4,0,1
69,3,female,16.5,1,4,13.67,S,6,0,1
70,3,male,28.2,4,0,1.59,S,5,0,1
74,3,male,30.0,2,1,9.45,S,4,0,1
75,3,male,30.2,1,0,157.04,S,2,0,1
80,3,female,15.8,0,3,35.41,S,4,0,1
81,3,female,21.6,1,0,48.45,S,2,0,1
86,3,female,35.5,2,1,82.38,C,4,0,1
88,3,female,16.1,2,4,37.33,C,7,0,1
91,3,female,22.4,4,2,9.0,S,7,0,1
92,3,male,23.1,5,4,4.24,S,10,0,1
94,3,female,30.3,3,3,105.44,S,7,0,1
104,3,female,37.5,1,4,7.25,S,6,0,1
112,3,female,5.5,4,0,1.56,S,5,0,1
115,3,male,41.2,0,1,38.4,S,2,0,1
116,3,male,47.6,0,3,2.92,S,4,0,1
120,3,male,17.6,3,4,21.39,S,8,0,1
126,3,female,18.7,5,2,0.96,S,8,0,1
127,3,male,48.6,0,3,10.32,S,4,0,1
134,3,female,42.0,1,4,21.9,S,6,0,1
139,3,male,27.7,3,2,2.45,Q,6,0,1
140,3,female,27.9,3,0,28.61,S,4,0,1
150,3,male,38.9,5,2,55.71,S,8,0,1
154,3,female,9.3,1,0,50.0,S,2,0,1
157,3,male,47.1,4,1,19.24,S,6,0,1
161,3,male,34.8,0,1,0.64,S,2,0,1
174,3,male,57.8,1,1,2.33,S,3,0,1
178,3,male,20.1,1,1,2.37,S,3,0,1
182,3,male,7.1,3,0,34.31,S,4,0,1
183,3,male,11.3,4,3,16.26,S,8,0,1
185,3,male,14.5,2,4,26.9,S,7,0,1
196,3,male,24.1,5,0,2.67,S,6,0,1
197,3,female,32.8,5,0,23.91,S,6,0,1
199,3,female,49.1,4,0,40.68,S,5,0,1
200,3,female,64.0,4,0,138.31,S,5,0,1
207,3,female,34.1,3,1,126.81,S,5,0,1
211,3,male,31.8,0,4,39.25,S,5,0,1
212,3,male,10.2,5,0,12.08,S,6,0,1
214,3,male,55.0,4,0,4.63,Q,5,0,1
220,3,female,21.6,3,2,102.44,S,6,0,1
228,3,female,37.7,1,1,6.7,S,3,0,1
229,3,male,24.7,5,2,26.06,S,8,0,1
235,3,male,10.8,2,1,17.53,S,4,0,1
240,3,female,14.2,4,0,36.64,Q,5,0,1
241,3,male,26.9,3,1,14.81,S,5,0,1
242,3,female,31.5,3,0,15.38,S,4,0,1
248,3,male,8.7,2,1,37.78,S,4,0,1
256,3,male,39.6,2,2,42.05,S,5,0,1
261,3,male,31.6,5,2,6.78,S,8,0,1
264,3,male,9.4,1,4,47.05,S,6,0,1
267,3,male,56.5,1,0,24.38,S,2,0,1
271,3,male,39.1,2,3,11.22,C,6,0,1
273,3,female,13.4,2,4,32.01,S,7,0,1
277,3,female,24.3,3,3,29.1,S,7,0,1
279,3,male,33.7,2,0,17.28,S,3,0,1
280,3,male,23.8,5,2,13.6,Q,8,0,1
292,3,male,11.7,1,2,11.91,S,4,0,1
296,3,male,7.4,4,1,47.98,S,6,0,1
298,3,male,26.7,4,1,7.96,S,6,0,1
304,3,female,26.1,4,2,23.79,C,7,0,1
308,3,male,14.8,2,4,2.39,S,7,0,1
315,3,male,41.6,1,0,7.57,Q,2,0,1
321,3,female,0.0,3,0,21.4,S,4,0,1
325,3,female,4.2,2,4,49.0,S,7,0,1
331,3,male,31.4,4,2,34.21,C,7,0,1
349,3,female,62.6,2,0,67.57,S,3,0,1
351,3,female,34.1,2,3,17.02,S,6,0,1
352,3,female,12.0,4,0,7.6,S,5,0,1
355,3,female,25.0,5,1,18.73,S,7,0,1
364,3,male,31.4,3,2,45.53,S,6,0,1
366,3,male,28.2,2,4,12.8,C,7,0,1
367,3,female,29.4,5,4,107.45,C,10,0,1
373,3,male,42.2,4,1,10.32,S,6,0,1
376,3,male,17.6,3,4,16.42,C,8,0,1
378,3,male,39.1,1,2,10.1,Q,4,0,1
383,3,female,33.4,3,3,23.49,S,7,0,1
384,3,male,39.2,3,2,58.75,Q,6,0,1
385,3,male,10.5,4,0,6.68,S,5,0,1
388,3,male,20.7,4,4,34.52,S,9,0,1
389,3,female,40.7,0,0,50.84,S,1,1,1
393,3,female,21.6,5,4,6.19,S,10,0,1
398,3,male,25.3,0,3,9.14,S,4,0,1
399,3,female,32.2,5,1,33.61,S,7,0,1
411,3,male,13.4,1,4,8.46,C,6,0,1
412,3,female,25.3,4,0,0.9,C,5,0,1
414,3,male,27.3,5,3,46.46,Q,9,0,1
418,3,female,35.3,5,3,7.26,S,9,0,1
421,3,male,27.3,3,2,43.59,S,6,0,1
431,3,female,22.1,5,0,42.93,Q,6,0,1
438,3,male,34.1,4,3,90.58,S,8,0,1
444,3,male,42.9,0,2,16.22,S,3,0,1
446,3,female,46.1,0,2,13.49,S,3,0,1
450,3,female,22.7,0,3,11.23,S,4,0,1
453,3,female,18.1,1,1,10.74,S,3,0,1
461,3,male,23.2,0,3,32.69,S,4,0,1
464,3,female,41.9,4,4,79.49,S,9,0,1
467,3,male,9.1,2,3,47.62,S,6,0,1
469,3,female,17.5,2,3,12.59,S,6,0,1
471,3,male,10.9,2,2,60.8,S,5,0,1
478,3,male,17.1,0,1,38.71,S,2,0,1
480,3,female,0.0,3,1,4.54,S,5,0,1
483,3,female,55.4,2,1,8.06,S,4,0,1
485,3,male,33.0,0,0,60.65,S,1,1,1
489,3,male,29.0,1,2,56.92,S,4,0,1
499,3,male,38.5,4,1,31.12,S,6,0,1
500,3,female,37.5,1,0,8.24,S,2,0,1
503,3,female,43.9,5,1,107.09,Q,7,0,1
504,3,female,58.8,3,3,9.32,S,7,0,1
506,3,male,35.5,4,0,80.88,S,5,0,1
508,3,male,34.1,3,0,0.31,S,4,0,1
512,3,male,44.7,5,0,56.77,S,6,0,1
513,3,male,56.7,0,1,53.22,S,2,0,1
518,3,male,27.5,3,0,0.43,C,4,0,1
523,3,male,30.7,3,2,0.17,S,6,0,1
524,3,male,8.1,1,2,25.03,S,4,0,1
529,3,male,33.5,5,1,42.41,S,7,0,1
531,3,male,23.6,0,2,18.67,C,3,0,1
532,3,male,9.8,4,1,20.84,S,6,0,1
535,3,male,36.8,2,4,63.11,S,7,0,1
543,3,male,29.7,3,3,65.08,Q,7,0,1
549,3,female,35.5,3,1,7.42,C,5,0,1
558,3,male,0.0,1,2,25.35,Q,4,0,1
559,3,male,25.5,5,1,30.48,S,7,0,1
560,3,male,16.1,1,4,50.07,S,6,0,1
571,3,female,31.0,0,2,86.94,S,3,0,1
575,3,female,45.4,0,3,49.78,C,4,0,1
577,3,male,43.4,4,1,83.08,S,6,0,1
591,3,male,37.5,2,4,3.24,S,7,0,1
609,3,male,0.0,4,4,14.79,S,9,0,1
611,3,male,23.1,3,0,68.16,S,4,0,1
614,3,female,49.7,3,2,50.32,S,6,0,1
618,3,male,24.3,0,3,0.89,S,4,0,1
627,3,male,35.4,2,1,34.14,Q,4,0,1
631,3,male,34.0,2,3,66.62,S,6,0,1
645,3,male,21.5,1,1,27.58,S,3,0,1
647,3,male,29.7,4,4,37.91,S,9,0,1
671,3,male,29.3,1,1,11.8,C,3,0,1
675,3,male,24.7,2,0,75.34,C,3,0,1
678,3,male,60.0,3,1,8.79,S,5,0,1
680,3,female,9.3,0,2,11.61,S,3,0,1
